basin,NSE
1139000,0.652186066
1139800,0.676549435
1142500,0.668571353
1144000,0.690973997
1162500,0.803991601
1169000,0.536170572
1170100,0.548871726
1181000,0.50884223
1187300,0.387231767
1195100,0.429605842
1333000,0.707714498
1350000,0.387689948
1350080,0.525929987
1350140,0.575037658
1365000,0.547501802
1411300,0.694081247
1413500,0.564933449
1414500,0.522825778
1415000,0.593584716
3010655,0.712414891
3011800,0.62866506
3015500,0.672808886
3021350,0.476676464
3026500,0.554672688
3028000,0.620617896
3049000,0.567648798
3049800,0.426265419
3050000,0.458113015
3069500,0.462242365
3070500,0.561887175
3076600,0.690837801
3078000,0.582239509
3140000,0.365484655
3144000,0.425228238
4074950,0.939346716
4105700,0.840116367
4115265,0.600231618
4122200,0.903774634
4122500,0.939182509
4127918,0.817249805
4127997,0.663707316
4161580,0.845316857
4185000,0.854043186
4196800,0.683532596
4197100,0.602683127
4197170,0.278187156
4213000,0.538365513
4213075,0.265089035
4216418,0.438316882
4221000,0.582047254
4224775,0.49029094
4233000,0.493207932
4256000,0.67750138
4296000,0.809654281
8101000,0.189716458
8103900,0.309381723
8104900,0.280000806
8109700,0.542147219
8150800,-0.00639379
8158700,0.42349714
8158810,0.294023514
8164300,0.341902614
8164600,0.321550786
8165300,-0.019775867
8171300,0.277016997
8175000,0.453702092
8176900,0.218883336
8178880,0.330897391
8189500,0.510391891
8190000,0.071354508
8190500,-0.009432673
8194200,0.473657012
8195000,0.057983696
8196000,0.007997692
8198500,0.165553868
8200000,0.179655433
8202700,-0.025677204
8267500,0.980326306
8269000,0.966523264
8271000,0.976703199
8324000,0.932099894
9081600,0.974214213
9107000,0.978909058
9210500,0.967581168
9223000,0.977246504
9306242,0.97401423
9312600,0.985629595
9497980,0.434575856
9505350,0.359782457
9505800,0.296503603
9508300,0.26890707
9510200,0.340760827
9512280,0.274793625
9513780,0.256272793
10234500,0.966949098
10244950,0.981456159
10336645,0.762131363
10336660,0.596514612
10343500,0.682420015
12010000,0.503989518
,0.543162807
