basin,NSE
1139000,0.585321128
1139800,0.650063902
1142500,0.60665527
1144000,0.556996703
1162500,0.812099129
1169000,0.321639836
1170100,0.431265593
1181000,0.249476612
1187300,-0.0308429
1195100,-0.06859076
1333000,0.623523325
1350000,0.146537423
1350080,0.20834744
1350140,0.271575212
1365000,0.327483118
1411300,0.652362078
1413500,0.433489442
1414500,0.369787276
1415000,0.451219976
3010655,0.496480227
3011800,0.52772966
3015500,0.572258621
3021350,-0.054044247
3026500,0.42672199
3028000,0.476792514
3049000,0.28772223
3049800,0.251280069
3050000,0.192728996
3069500,0.253687143
3070500,-0.080881476
3076600,0.294453561
3078000,0.26187849
3140000,0.163401663
3144000,0.224123061
4074950,0.948880237
4105700,0.779490098
4115265,0.504620403
4122200,0.9109625
4122500,0.949903499
4127918,0.770565465
4127997,0.655210763
4161580,0.855389982
4185000,0.854637533
4196800,0.686621368
4197100,0.435162842
4197170,-0.153083205
4213000,0.332960069
4213075,0.169688344
4216418,0.181284249
4221000,0.284701347
4224775,0.180944979
4233000,0.204694927
4256000,0.565494567
4296000,0.773383319
8101000,0.073742568
8103900,-0.289327979
8104900,-1.13005805
8109700,0.445603251
8150800,-2.16238308
8158700,0.044469416
8158810,0.184510767
8164300,0.312535465
8164600,0.344516993
8165300,-0.370491982
8171300,0.147412002
8175000,0.412608624
8176900,0.10618645
8178880,-2.954899549
8189500,0.494065523
8190000,0.086006522
8190500,0.064661205
8194200,0.526952714
8195000,0.084090948
8196000,0.074102104
8198500,0.095699787
8200000,0.171127021
8202700,-0.067586899
8267500,0.982178902
8269000,0.969484728
8271000,0.980732577
8324000,0.927737944
9081600,0.976173142
9107000,0.981980227
9210500,0.972191239
9223000,0.972792985
9306242,0.919656873
9312600,0.989346625
9497980,-0.063600302
9505350,0.051781118
9505800,-0.757798195
9508300,-3.825610638
9510200,-0.828114629
9512280,0.116937935
9513780,0.135787666
10234500,0.966455135
10244950,0.989553432
10336645,0.772951037
10336660,0.590024531
10343500,0.603489161
12010000,0.569654286
,0.284715852
