basin,NSE
1139000,0.599282682
1139800,0.498330534
1142500,0.585764557
1144000,0.577159315
1162500,0.82337679
1169000,0.144828081
1170100,0.447515905
1181000,0.232245803
1187300,0.187582016
1195100,0.183398843
1333000,0.443591774
1350000,0.134159088
1350080,0.318738043
1350140,0.27652967
1365000,0.254514158
1411300,0.535076708
1413500,0.324287891
1414500,0.270082355
1415000,0.478973746
3010655,0.655130535
3011800,0.502553791
3015500,0.542142391
3021350,0.145969689
3026500,0.31506294
3028000,0.502326101
3049000,0.30218935
3049800,0.334984541
3050000,0.25609678
3069500,0.343717158
3070500,0.317563653
3076600,0.538806289
3078000,0.374013424
3140000,0.104673326
3144000,0.20159322
4074950,0.944733672
4105700,0.841085374
4115265,0.54757008
4122200,0.908226371
4122500,0.953683458
4127918,0.771728814
4127997,0.547354013
4161580,0.842626512
4185000,0.878032528
4196800,0.631069183
4197100,0.551176399
4197170,-0.652594328
4213000,0.413996518
4213075,0.059107721
4216418,0.30904901
4221000,0.253469348
4224775,0.296391487
4233000,0.275349379
4256000,0.598177612
4296000,0.816093743
8101000,-0.373711944
8103900,0.08762008
8104900,0.16006279
8109700,0.427299142
8150800,-0.867105603
8158700,0.055782199
8158810,0.091254771
8164300,0.261402488
8164600,-0.15547049
8165300,-2.694042921
8171300,-0.085249543
8175000,0.246059835
8176900,0.069015026
8178880,-0.798026919
8189500,0.491638184
8190000,-0.493351698
8190500,-1.053168297
8194200,-0.290630698
8195000,0.03194952
8196000,0.016694427
8198500,0.143098354
8200000,0.193338037
8202700,-0.034891725
8267500,0.982230581
8269000,0.967040662
8271000,0.981532915
8324000,0.922498204
9081600,0.974766655
9107000,0.983315481
9210500,0.972101633
9223000,0.97808229
9306242,0.897797227
9312600,0.99026768
9497980,-0.107448101
9505350,-0.219100714
9505800,-0.456539989
9508300,0.021271348
9510200,-0.320005059
9512280,-0.414861798
9513780,0.081350446
10234500,0.97335914
10244950,0.989188601
10336645,0.823057026
10336660,0.630802095
10343500,0.638414681
12010000,0.508508593
,0.317657826
