basin,NSE
1139000,0.257151842
1139800,0.491157591
1142500,0.456887603
1144000,0.388296068
1162500,0.672383964
1169000,0.148710728
1170100,0.353720665
1181000,-0.034302115
1187300,0.14668256
1195100,-0.261253238
1333000,0.346033454
1350000,0.130259693
1350080,0.291779459
1350140,0.260907769
1365000,0.015816033
1411300,0.344091594
1413500,0.305147827
1414500,0.346775591
1415000,0.314868212
3010655,0.508987814
3011800,0.022063851
3015500,0.184603035
3021350,-0.110461235
3026500,-0.032876968
3028000,0.247070014
3049000,-1.126532316
3049800,-0.397365332
3050000,-0.784213424
3069500,0.068115234
3070500,-0.444519758
3076600,0.205034018
3078000,0.045153081
3140000,-0.054585695
3144000,0.047513962
4074950,0.660765797
4105700,0.81323874
4115265,0.181632459
4122200,0.884906642
4122500,0.949794397
4127918,0.71760121
4127997,0.491833627
4161580,0.825877994
4185000,0.856825024
4196800,0.114502311
4197100,-0.032708526
4197170,-0.325497985
4213000,0.092784464
4213075,-0.097511649
4216418,-0.473641515
4221000,-0.031898737
4224775,0.037861466
4233000,-0.218661308
4256000,0.531941861
4296000,0.706876576
8101000,0.105075181
8103900,0.196638286
8104900,0.205261886
8109700,0.520804495
8150800,-15.59692574
8158700,0.278574705
8158810,0.184392571
8164300,0.319544494
8164600,0.315238178
8165300,-0.595032454
8171300,0.242965162
8175000,0.423838794
8176900,-0.172798634
8178880,-19.69671822
8189500,0.453316689
8190000,-0.371681571
8190500,0.045337915
8194200,-0.410394549
8195000,0.076282918
8196000,0.043615937
8198500,-17.86474609
8200000,0.098495066
8202700,-0.252386093
8267500,0.975694332
8269000,0.949075263
8271000,0.971680624
8324000,0.92579709
9081600,0.971268641
9107000,0.976364525
9210500,0.969091441
9223000,0.969420167
9306242,0.93492575
9312600,0.988095155
9497980,-0.578630805
9505350,-1.964879513
9505800,-0.231590867
9508300,-1.208305597
9510200,-0.775058627
9512280,0.113577366
9513780,0.068688035
10234500,0.962719165
10244950,0.991980114
10336645,0.791258186
10336660,0.564972401
10343500,0.605637163
12010000,0.548494577
,-0.318914021
