basin,NSE
1139000,0.565287858
1139800,0.540342122
1142500,0.555749834
1144000,0.561923683
1162500,0.799794033
1169000,0.443065643
1170100,0.427142322
1181000,0.340615094
1187300,0.203976393
1195100,0.027517438
1333000,0.314831674
1350000,0.310974181
1350080,0.39538908
1350140,0.367129266
1365000,0.336074769
1411300,0.27908814
1413500,0.456835389
1414500,0.391192675
1415000,0.485737205
3010655,0.524498314
3011800,0.386785507
3015500,0.460537195
3021350,0.004559994
3026500,0.327319205
3028000,0.385756254
3049000,0.312043309
3049800,0.196922719
3050000,0.187988162
3069500,0.36178863
3070500,0.157286346
3076600,0.212444186
3078000,0.362146378
3140000,0.142760158
3144000,0.224189878
4074950,0.947699666
4105700,0.837044582
4115265,0.525342315
4122200,0.921010695
4122500,0.957128827
4127918,0.775292456
4127997,0.674402356
4161580,0.847755402
4185000,0.883860953
4196800,0.698606521
4197100,0.49353379
4197170,-0.031998277
4213000,0.402262151
4213075,0.016147792
4216418,0.167384207
4221000,0.169735432
4224775,0.157303572
4233000,0.438688457
4256000,0.594513267
4296000,0.749501884
8101000,0.210734665
8103900,-0.904420376
8104900,0.099266171
8109700,0.455000937
8150800,-1.322777271
8158700,0.087792337
8158810,0.180824757
8164300,0.301006198
8164600,0.325541675
8165300,-10.44813156
8171300,-0.059506774
8175000,0.409672081
8176900,-0.133487821
8178880,-2.103240252
8189500,0.276821196
8190000,-0.095788002
8190500,0.027854919
8194200,0.366053402
8195000,0.027778625
8196000,0.009341419
8198500,-6.77190876
8200000,0.16424948
8202700,-0.309193015
8267500,0.981409168
8269000,0.975609655
8271000,0.979011266
8324000,0.933216646
9081600,0.977125628
9107000,0.98143767
9210500,0.972800525
9223000,0.972071793
9306242,0.898354068
9312600,0.990145406
9497980,0.024970114
9505350,0.008192003
9505800,-3.130131721
9508300,-2.653008223
9510200,-0.169179559
9512280,0.239881516
9513780,0.082759798
10234500,0.971104132
10244950,0.989715683
10336645,0.798913702
10336660,0.594192594
10343500,0.606338531
12010000,0.574868679
,0.126681922
