basin,NSE
1139000,0.60363701
1139800,0.632665962
1142500,0.62185511
1144000,0.656882674
1162500,0.721972257
1169000,0.07253623
1170100,0.244331241
1181000,0.056893408
1187300,0.226458192
1195100,0.232394099
1333000,0.183669448
1350000,0.300149262
1350080,0.417129099
1350140,0.327974439
1365000,0.246890485
1411300,0.630445182
1413500,0.343080997
1414500,0.367881656
1415000,0.423123598
3010655,0.666613221
3011800,0.59172526
3015500,0.588198841
3021350,0.24393785
3026500,0.51230514
3028000,0.55011794
3049000,0.430185556
3049800,0.300430179
3050000,0.279158235
3069500,0.332089424
3070500,0.262917697
3076600,0.416391313
3078000,0.46407944
3140000,0.173606217
3144000,0.276558757
4074950,0.949152544
4105700,0.846863687
4115265,0.557905674
4122200,0.920318775
4122500,0.957680531
4127918,0.790737286
4127997,0.620917827
4161580,0.849277109
4185000,0.896580733
4196800,0.650127858
4197100,0.478731751
4197170,0.137545109
4213000,0.439168572
4213075,0.013334513
4216418,0.254982948
4221000,0.444833219
4224775,0.330830693
4233000,0.266899943
4256000,0.604406416
4296000,0.789288327
8101000,0.018966317
8103900,-0.778793335
8104900,0.097332239
8109700,0.341386199
8150800,-1.467200518
8158700,0.308917046
8158810,0.136965632
8164300,0.210290253
8164600,0.246977091
8165300,-0.147972226
8171300,0.123921931
8175000,0.397646964
8176900,0.222554624
8178880,-5.41453886
8189500,0.500815719
8190000,0.065392137
8190500,0.033346474
8194200,0.458149135
8195000,-0.028294563
8196000,-0.079301
8198500,-0.218370914
8200000,-0.486901164
8202700,-0.913201332
8267500,0.980229594
8269000,0.962928381
8271000,0.967639834
8324000,0.932997853
9081600,0.975857593
9107000,0.976522433
9210500,0.9714796
9223000,0.977278305
9306242,0.920531057
9312600,0.989113439
9497980,-0.054787517
9505350,-0.305691361
9505800,-1.803166151
9508300,-1.197435379
9510200,-0.419386625
9512280,0.122360587
9513780,0.032802403
10234500,0.973671122
10244950,0.992451907
10336645,0.800339639
10336660,0.539332956
10343500,0.642861009
12010000,0.484176159
,0.292880636
