basin,NSE
1139000,0.597502172
1139800,0.533205152
1142500,0.585514247
1144000,0.638629347
1162500,0.807000265
1169000,0.421067297
1170100,0.487295985
1181000,0.445410848
1187300,0.322611868
1195100,0.278187633
1333000,0.483419538
1350000,0.306520462
1350080,0.308409095
1350140,0.23077786
1365000,0.431189001
1411300,0.632611811
1413500,0.454930663
1414500,0.372280896
1415000,0.451952577
3010655,0.562970549
3011800,0.378154635
3015500,0.582593054
3021350,-0.351277351
3026500,0.349589288
3028000,0.393094718
3049000,0.351645172
3049800,0.312975407
3050000,0.317964137
3069500,0.350777149
3070500,0.442675769
3076600,0.3485111
3078000,0.475143671
3140000,0.200829446
3144000,0.150966108
4074950,0.94756956
4105700,0.839260787
4115265,0.488775611
4122200,0.914326645
4122500,0.953352842
4127918,0.803709224
4127997,0.625114113
4161580,0.845452696
4185000,0.885736339
4196800,0.667745024
4197100,0.45435518
4197170,0.013420045
4213000,0.321059763
4213075,-0.061187863
4216418,0.321000755
4221000,0.427605689
4224775,0.286723971
4233000,0.187845826
4256000,0.630059034
4296000,0.781957686
8101000,0.005601943
8103900,0.135887504
8104900,0.217116117
8109700,0.585393727
8150800,-0.880975723
8158700,0.026770115
8158810,0.163204908
8164300,0.349688768
8164600,0.470743537
8165300,-0.152095675
8171300,-0.082181215
8175000,0.59027791
8176900,0.056517005
8178880,-1.030983925
8189500,0.385562599
8190000,0.045906842
8190500,0.034434021
8194200,-0.311476827
8195000,-0.380631685
8196000,-0.362180948
8198500,-0.54438889
8200000,0.093677461
8202700,-0.538129926
8267500,0.984681563
8269000,0.968088776
8271000,0.982955486
8324000,0.934124172
9081600,0.974860158
9107000,0.978597676
9210500,0.972740637
9223000,0.967853047
9306242,0.945635237
9312600,0.988759165
9497980,-0.081202388
9505350,0.257017612
9505800,0.24153161
9508300,-0.601597786
9510200,-0.038344145
9512280,-0.047033787
9513780,0.075152457
10234500,0.966730088
10244950,0.99207426
10336645,0.80318132
10336660,0.634685934
10343500,0.674231321
12010000,0.54379347
,0.37985266
