basin,NSE
1139000,0.656178981
1139800,0.655280024
1142500,0.655645609
1144000,0.670400918
1162500,0.825817063
1169000,0.4179914
1170100,0.455752552
1181000,0.374230862
1187300,0.283454597
1195100,0.443962038
1333000,0.613494754
1350000,0.321766019
1350080,0.376360238
1350140,0.442428946
1365000,0.353046179
1411300,0.704846352
1413500,0.432495713
1414500,0.327085614
1415000,0.410026133
3010655,0.517211646
3011800,0.513405621
3015500,0.619152963
3021350,0.237923205
3026500,0.448338568
3028000,0.613924026
3049000,0.586846441
3049800,0.337901413
3050000,0.394811332
3069500,0.411789656
3070500,0.361312151
3076600,0.494889975
3078000,0.503913462
3140000,0.320828676
3144000,0.438107371
4074950,0.945989888
4105700,0.856984809
4115265,0.625217617
4122200,0.921229787
4122500,0.956573881
4127918,0.825298026
4127997,0.66154471
4161580,0.859256625
4185000,0.891733468
4196800,0.742923379
4197100,0.630929261
4197170,0.20407176
4213000,0.539443314
4213075,0.026530981
4216418,0.189543486
4221000,0.437229514
4224775,0.385378599
4233000,0.40914166
4256000,0.676215142
4296000,0.754072234
8101000,0.263467193
8103900,0.229457498
8104900,0.180981636
8109700,0.353552401
8150800,0.030853212
8158700,0.280337036
8158810,0.27007705
8164300,0.330411553
8164600,0.417837739
8165300,0.072263777
8171300,0.220386267
8175000,0.56341067
8176900,0.065063417
8178880,0.302547991
8189500,0.480279863
8190000,0.135269105
8190500,0.049530268
8194200,0.699544877
8195000,0.187296212
8196000,0.077410877
8198500,-1.686246872
8200000,-2.442832947
8202700,-0.219566345
8267500,0.983486854
8269000,0.968805684
8271000,0.982736697
8324000,0.931963466
9081600,0.978200484
9107000,0.983715827
9210500,0.97142439
9223000,0.976087542
9306242,0.919504635
9312600,0.988672662
9497980,-0.792676806
9505350,0.46104461
9505800,0.303568721
9508300,0.148167729
9510200,-0.199838758
9512280,-0.165836811
9513780,-0.065809131
10234500,0.970190626
10244950,0.989239772
10336645,0.831524491
10336660,0.632810652
10343500,0.677101821
12010000,0.626728415
,0.437220747
