basin,NSE
1139000,0.585293025
1139800,0.641997725
1142500,0.58900857
1144000,0.640724391
1162500,0.774439469
1169000,0.18766737
1170100,0.465638876
1181000,-0.029094815
1187300,0.076465428
1195100,0.011522114
1333000,0.539129168
1350000,0.312671542
1350080,0.396781027
1350140,0.340242207
1365000,0.3592906
1411300,0.663477033
1413500,0.378255665
1414500,0.407000005
1415000,0.494363844
3010655,0.64350158
3011800,0.339632273
3015500,0.582422435
3021350,0.04296869
3026500,0.302662313
3028000,0.482402146
3049000,0.377633452
3049800,0.331598878
3050000,0.16191709
3069500,0.382685006
3070500,-0.017298579
3076600,0.259894848
3078000,0.243798316
3140000,0.171629965
3144000,0.178795278
4074950,0.948653691
4105700,0.786807045
4115265,0.552779049
4122200,0.902127422
4122500,0.943928216
4127918,0.757372364
4127997,0.672403693
4161580,0.850827128
4185000,0.869650468
4196800,0.681547284
4197100,0.463702142
4197170,-0.069002986
4213000,0.374767244
4213075,0.132069826
4216418,0.339710891
4221000,0.363594413
4224775,0.203950107
4233000,0.227976918
4256000,0.556196153
4296000,0.753926799
8101000,-0.290412188
8103900,-0.646799684
8104900,0.248882413
8109700,0.321532011
8150800,-0.208649516
8158700,0.370525002
8158810,0.220274985
8164300,0.216068387
8164600,0.457282305
8165300,-0.438972116
8171300,0.243168175
8175000,0.553176612
8176900,0.162643731
8178880,-0.483129263
8189500,0.510199934
8190000,-0.12749505
8190500,0.09739399
8194200,0.53485024
8195000,-0.055814147
8196000,0.040554285
8198500,-0.244015694
8200000,0.123876691
8202700,-0.013388157
8267500,0.980777863
8269000,0.967813294
8271000,0.980682826
8324000,0.929539375
9081600,0.96574115
9107000,0.980170673
9210500,0.97338563
9223000,0.97517556
9306242,0.910858378
9312600,0.989070871
9497980,-0.56491673
9505350,0.052485645
9505800,-0.104197145
9508300,-1.130030632
9510200,-3.914487839
9512280,0.174853683
9513780,0.020540774
10234500,0.969873177
10244950,0.989817287
10336645,0.800115049
10336660,0.605765581
10343500,0.644561619
12010000,0.554364055
,0.339758179
