basin,NSE
1139000,-0.129555583
1139800,-0.075149655
1142500,0.106598079
1144000,-0.066009283
1162500,-0.165826917
1169000,-0.168123126
1170100,-0.273066521
1181000,-0.124924064
1187300,-0.81810081
1195100,-2.639128447
1333000,-0.08170712
1350000,-0.339492321
1350080,-0.106486559
1350140,0.090823472
1365000,-0.441762805
1411300,-2.409280539
1413500,0.045154929
1414500,-0.103398442
1415000,-0.275681376
3010655,0.190843821
3011800,0.082912922
3015500,0.188306868
3021350,0.063884854
3026500,-0.015388131
3028000,0.118798852
3049000,-0.195202112
3049800,-0.627993345
3050000,0.058411598
3069500,0.055707574
3070500,-0.005338669
3076600,0.208566368
3078000,0.102049053
3140000,-1.026303053
3144000,-0.246110797
4074950,-4.629545689
4105700,-8.612054825
4115265,-7.544376373
4122200,-7.003998756
4122500,-8.167420387
4127918,-0.345155001
4127997,-17.73978806
4161580,-3.594971657
4185000,-0.264315367
4196800,-0.46094656
4197100,-0.796293855
4197170,-1.413687944
4213000,-0.045510411
4213075,-1.00323081
4216418,-0.276472449
4221000,-0.105126858
4224775,-0.259937048
4233000,-0.227114439
4256000,0.262800336
4296000,0.182180643
8101000,-2.016579628
8103900,-3.307984829
8104900,-2.267469406
8109700,-3.590296268
8150800,-6.980749607
8158700,-1.836960793
8158810,-2.526859045
8164300,-3.240177155
8164600,-1.685109615
8165300,-6.355002403
8171300,-2.339567661
8175000,-0.707579017
8176900,-3.834113598
8178880,-1.955480814
8189500,-1.995751619
8190000,-2.378014803
8190500,-6.827192783
8194200,-16.50858307
8195000,-2.515726328
8196000,-5.120294094
8198500,-3.104479313
8200000,-1.618463278
8202700,-4.837076187
8267500,-0.596303821
8269000,-2.183923006
8271000,-0.382399797
8324000,-26.26099777
9081600,-0.173322797
9107000,-0.699391603
9210500,-3.919873238
9223000,-0.330113649
9306242,-165.5924835
9312600,-2.733662367
9497980,-4.122313499
9505350,-0.813564301
9505800,-1.188838243
9508300,-1.982125044
9510200,-5.171896935
9512280,-5.071794987
9513780,-3.607795238
10234500,-2.765786886
10244950,-9.39379406
10336645,-1.566800833
10336660,-1.287075281
10343500,-0.096979737
12010000,-1.285889626
,-3.998435743
