basin,NSE
1139000,0.521615922
1139800,0.60537374
1142500,0.57734865
1144000,0.528976917
1162500,0.763456836
1169000,0.313480318
1170100,0.327294409
1181000,0.29871583
1187300,0.316574097
1195100,0.211638153
1333000,0.494224608
1350000,0.22665298
1350080,0.42041713
1350140,0.302419186
1365000,0.309605718
1411300,0.662395418
1413500,0.466434062
1414500,0.421919644
1415000,0.482569516
3010655,0.665431529
3011800,0.34912008
3015500,0.549339354
3021350,-0.02568996
3026500,0.186540961
3028000,0.424999833
3049000,0.173228502
3049800,0.334811449
3050000,0.154496849
3069500,0.291822851
3070500,0.226225436
3076600,0.333758473
3078000,0.399268687
3140000,0.145739496
3144000,0.227806568
4074950,0.94556788
4105700,0.831131861
4115265,0.502859533
4122200,0.899749935
4122500,0.949802749
4127918,0.744703561
4127997,0.365104318
4161580,0.843880817
4185000,0.884208292
4196800,0.711440414
4197100,0.504132271
4197170,-0.014316797
4213000,0.363462329
4213075,0.080088079
4216418,0.090572238
4221000,0.414235055
4224775,0.176239073
4233000,0.156229794
4256000,0.610955238
4296000,0.75532566
8101000,0.178750336
8103900,-0.584807873
8104900,-0.119604945
8109700,0.288145185
8150800,-5.535429478
8158700,-0.081159592
8158810,0.187522531
8164300,0.169829667
8164600,0.311403394
8165300,-0.015406966
8171300,0.145249665
8175000,0.445986569
8176900,0.050904751
8178880,-4.688627243
8189500,0.352489173
8190000,0.010527194
8190500,0.057663977
8194200,0.426041543
8195000,-0.239362597
8196000,-0.735158324
8198500,-1.118858337
8200000,0.227142513
8202700,-0.02276063
8267500,0.975258665
8269000,0.970444765
8271000,0.978958534
8324000,0.932845093
9081600,0.97148516
9107000,0.979943672
9210500,0.973247243
9223000,0.975778708
9306242,0.931117304
9312600,0.990270814
9497980,0.027848423
9505350,0.303884149
9505800,-1.670702219
9508300,-0.093427777
9510200,-0.166312933
9512280,0.044085801
9513780,0.166327298
10234500,0.971801227
10244950,0.990754025
10336645,0.712191731
10336660,0.533299893
10343500,0.585761726
12010000,0.591695309
,0.258904227
