basin,NSE
1139000,0.597176641
1139800,0.593719989
1142500,0.63200587
1144000,0.652088165
1162500,0.772087619
1169000,0.273603618
1170100,0.44472611
1181000,0.030155599
1187300,0.173438609
1195100,0.130462527
1333000,0.395993114
1350000,0.354921639
1350080,0.434129655
1350140,-0.221850634
1365000,0.500635386
1411300,0.590795577
1413500,0.478161693
1414500,0.325267732
1415000,0.383074343
3010655,0.534700155
3011800,0.379243433
3015500,0.472714305
3021350,0.272988558
3026500,0.295459628
3028000,0.527905285
3049000,0.414520919
3049800,0.381266356
3050000,0.335259974
3069500,0.305783451
3070500,0.003014445
3076600,0.130940855
3078000,0.405359864
3140000,-0.056290865
3144000,0.249270737
4074950,0.937733851
4105700,0.839087188
4115265,0.557932377
4122200,0.902225874
4122500,0.945220072
4127918,0.77868776
4127997,0.650093794
4161580,0.841324091
4185000,0.862696841
4196800,0.571130097
4197100,0.310999215
4197170,-1.003503561
4213000,0.414795816
4213075,-0.249278665
4216418,0.40356189
4221000,0.306080759
4224775,0.243309021
4233000,-0.347756743
4256000,0.525794089
4296000,0.718812793
8101000,0.154622734
8103900,-0.921478629
8104900,0.225783706
8109700,0.331977606
8150800,-156.5103455
8158700,0.321757734
8158810,0.099630475
8164300,0.03123337
8164600,0.134654462
8165300,-11.28284836
8171300,0.019931197
8175000,0.434096158
8176900,0.120872319
8178880,-41.85456848
8189500,0.503264964
8190000,0.191831112
8190500,0.020491362
8194200,0.159909129
8195000,0.009010732
8196000,0.066136301
8198500,-5.401917934
8200000,-3.938581944
8202700,-2.511584997
8267500,0.98337416
8269000,0.968086205
8271000,0.980086844
8324000,0.931688197
9081600,0.978988038
9107000,0.980361041
9210500,0.970498176
9223000,0.979422871
9306242,0.916859135
9312600,0.989157532
9497980,-0.623297215
9505350,-1.169865847
9505800,-3.842243195
9508300,0.039539278
9510200,-0.853640079
9512280,-0.006219506
9513780,0.176401794
10234500,0.9665826
10244950,0.988694773
10336645,0.682424963
10336660,0.496030688
10343500,0.6606071
12010000,0.61222443
,-1.903886835
