basin,NSE
1139000,0.58624652
1139800,0.608248204
1142500,0.55762139
1144000,0.559473813
1162500,0.806552693
1169000,0.314920306
1170100,0.488269508
1181000,0.254489243
1187300,0.281210423
1195100,0.003249168
1333000,0.336204469
1350000,0.292897522
1350080,0.388405383
1350140,0.322311282
1365000,0.359730303
1411300,0.64037475
1413500,0.473155379
1414500,0.413050294
1415000,0.476316154
3010655,0.610656887
3011800,0.481911242
3015500,0.585845441
3021350,-0.099065661
3026500,0.284886181
3028000,0.493550003
3049000,0.355314016
3049800,0.21299088
3050000,0.140349746
3069500,0.337789655
3070500,0.154571891
3076600,0.3850016
3078000,0.372139692
3140000,0.153357387
3144000,0.227570474
4074950,0.946613014
4105700,0.836767241
4115265,0.462210953
4122200,0.899911195
4122500,0.93915201
4127918,0.704347581
4127997,0.655573368
4161580,0.849049315
4185000,0.873364672
4196800,0.616080195
4197100,0.503909528
4197170,-0.07927227
4213000,0.404398739
4213075,0.126113594
4216418,0.277898371
4221000,0.399261117
4224775,0.337754369
4233000,0.336548209
4256000,0.581704497
4296000,0.670934916
8101000,0.181854546
8103900,0.200787306
8104900,0.204532623
8109700,0.575728923
8150800,-0.193826199
8158700,0.065643907
8158810,0.179202855
8164300,0.269826651
8164600,0.323223114
8165300,-0.018519402
8171300,0.092286289
8175000,0.513957977
8176900,-0.020282865
8178880,-0.527553439
8189500,0.564391047
8190000,0.00702852
8190500,0.036138952
8194200,0.314604938
8195000,-0.045875788
8196000,0.046365678
8198500,-0.206406236
8200000,0.171871305
8202700,-1.765608788
8267500,0.978356982
8269000,0.963750277
8271000,0.973336251
8324000,0.903894491
9081600,0.971835013
9107000,0.972425431
9210500,0.968642257
9223000,0.961057093
9306242,0.698553383
9312600,0.981553579
9497980,-0.658843517
9505350,-0.054709315
9505800,-8.143503189
9508300,-0.035445929
9510200,-0.178792834
9512280,-5.139389992
9513780,-0.703113198
10234500,0.957112405
10244950,0.983389081
10336645,0.768789634
10336660,0.573207736
10343500,0.630856186
12010000,0.569405377
,0.24113656
