basin,NSE
1139000,0.776524395
1139800,0.692527086
1142500,0.802167758
1144000,0.87262997
1162500,0.86861223
1169000,0.806154251
1170100,0.815284058
1181000,0.815862969
1187300,0.859814003
1195100,0.647061586
1333000,0.814974427
1350000,0.806545973
1350080,0.71764797
1350140,0.640486211
1365000,0.808992982
1411300,0.625654876
1413500,0.776233047
1414500,0.771129116
1415000,0.845096245
3010655,0.801518187
3011800,0.822229892
3015500,0.810425803
3021350,0.667283922
3026500,0.653899819
3028000,0.786036521
3049000,0.76749979
3049800,0.436232686
3050000,0.856575847
3069500,0.888908289
3070500,0.893291861
3076600,0.798776254
3078000,0.795539349
3140000,0.726466089
3144000,0.797580913
4074950,0.730383396
4105700,0.602803946
4115265,0.636220366
4122200,0.648003012
4122500,0.698892802
4127918,0.770648986
4127997,0.525516629
4161580,0.63129127
4185000,0.858805299
4196800,0.7458601
4197100,0.727757096
4197170,0.747951537
4213000,0.720349222
4213075,0.509185195
4216418,0.816917241
4221000,0.842438608
4224775,0.75973317
4233000,0.802998111
4256000,0.848233253
4296000,0.830191776
8101000,0.775247991
8103900,0.759302199
8104900,0.652256638
8109700,0.528282732
8150800,0.581141979
8158700,0.705263674
8158810,0.518650383
8164300,0.856916174
8164600,0.731946826
8165300,0.605931967
8171300,0.766526669
8175000,0.735276461
8176900,0.538750887
8178880,0.777844876
8189500,0.703938127
8190000,0.817531243
8190500,0.618055016
8194200,-0.174822688
8195000,0.837210715
8196000,0.450776279
8198500,0.684363753
8200000,0.535788596
8202700,0.667627245
8267500,0.802606955
8269000,0.732573211
8271000,0.836045831
8324000,0.812621638
9081600,0.900622256
9107000,0.899510793
9210500,0.754813448
9223000,0.885197014
9306242,0.114379048
9312600,0.881053388
9497980,0.840588346
9505350,0.623826265
9505800,0.66174379
9508300,0.591192901
9510200,0.709716946
9512280,0.637921691
9513780,0.391524196
10234500,0.880265467
10244950,0.723950654
10336645,0.884953424
10336660,0.795199633
10343500,0.6666345
12010000,0.910308957
,0.723309035
