basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,-0.261530519,4.493204594,2.119718046,-0.5038936,4.27E-08,0.04936251,-0.511400461,2.423076923,0.951612903
1350080,-0.093992233,7.712223053,2.777088953,-0.493625513,1.16E-08,0.040365617,-0.306581557,2.315789474,0.916666667
3140000,-0.017540336,2.89056778,1.700166986,-0.426775253,4.82E-08,0.015097487,-0.132440388,2.272727273,0.946428571
4105700,-1.283118486,0.380338371,0.616715794,-0.457054147,2.00E-07,0.025520742,-1.132748008,2.703703704,0.904761905
4196800,-0.011409998,3.757211447,1.938352766,-0.455631079,6.94E-06,-0.029920722,-0.106815219,2.7,0.943396226
8109700,-0.077250004,1.846249938,1.358767801,-0.895634214,4.96E-06,0.023807912,0.277939469,2.181818182,0.891304348
8175000,-0.032286167,3.734609365,1.932513743,-0.804086287,2.95E-06,-0.004374727,0.179683715,1.818181818,0.942307692
9210500,-0.183074474,0.360246807,0.600205638,-0.557400558,1.39E-07,-0.047296992,0.42787227,2.777777778,0.962962963
10336645,-0.13705492,20.24538994,4.499487742,-0.53725978,1.84E-08,0.070715317,-0.370209396,2.846153846,1
12010000,-0.351251483,199.3881836,14.12048808,-0.617596145,5.53E-09,0.11969342,-0.592664897,3,0.956521739
,-0.244850862,24.48082249,3.166350555,-0.574895658,1.53117E-06,0.026297056,-0.226736447,2.5039229,0.941596301
