basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.641203851,1.277927518,1.130454563,0.744248289,0.838758826,0.801640978,0.006833575,1.076923077,0.032258065
1350080,0.515442818,3.415941238,1.848226512,0.564684164,0.666789532,0.719910252,0.002486588,1,0.104166667
3140000,0.361533105,1.813718438,1.346743642,0.509567689,0.715394914,0.612064277,0.049116049,1.045454545,0.053571429
4105700,0.794146702,0.034292527,0.185182414,0.870070739,0.933933794,0.908676707,-0.175808683,1,0.111111111
4196800,0.673969269,1.211147189,1.100521326,0.798010589,0.908596516,0.825394523,0.019602485,1,0.037735849
8109700,0.503866941,0.850299954,0.922117105,0.651848031,0.865952253,0.724654101,0.035937022,1,0.326086957
8175000,0.527128935,1.710754871,1.307958283,0.551902002,0.641181827,0.73165197,0.000891475,1,0.25
9210500,0.948077239,0.015810508,0.125739844,0.895154618,0.898042679,0.976898623,0.005951331,1,0.296296296
10336645,0.840454146,2.840731859,1.68544708,0.854648159,0.882354021,0.917508665,-0.011496169,1,0.148148148
12010000,0.576268613,62.5250206,7.907276434,0.525346249,0.60037607,0.787165797,-0.092038214,1.176470588,0.239130435
,0.638209162,7.56956447,1.75596672,0.696548053,0.795138043,0.800556589,-0.015852454,1.029884821,0.159850496
