basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.630153418,1.317285895,1.147730759,0.71653923,0.813870966,0.795883254,0.054343231,1.076923077,0.112903226
1350080,0.506791353,3.476930618,1.864652948,0.534590587,0.637056887,0.717494447,0.039201781,0.947368421,0.1875
3140000,0.362549782,1.810830355,1.345670968,0.450772822,0.675161183,0.6156487,0.113718033,1,0.107142857
4105700,0.818439156,0.030245716,0.173912955,0.867212161,0.907932818,0.905945041,-0.047888346,1,0.095238095
4196800,0.677785158,1.196971774,1.094062052,0.761408813,0.86515528,0.825220065,0.040101796,1.05,0.075471698
8109700,0.523005784,0.817498744,0.904156371,0.620954939,0.773233294,0.725322377,-0.0281302,1.090909091,0.304347826
8175000,0.516837806,1.747986197,1.322114291,0.480826289,0.591343522,0.733363752,-0.028545713,0.909090909,0.230769231
9210500,0.960933954,0.011895631,0.109067096,0.952617701,0.97155726,0.98061544,-0.024302894,1,0.185185185
10336645,0.840162784,2.845919371,1.686985291,0.864272507,0.892824292,0.916925844,0.003054243,0.769230769,0.259259259
12010000,0.58624649,61.05270386,7.813622966,0.592700635,0.670870721,0.774446393,-0.052847277,1.176470588,0.586956522
,0.642290568,7.430826816,1.74619757,0.684189568,0.779900622,0.799086531,0.006870465,1.001999286,0.21447739
