basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.625693738,1.333169937,1.154629784,0.698496952,0.784495175,0.791494826,0.026857462,1,0.080645161
1350080,0.503084451,3.503062963,1.871647126,0.516343923,0.60859257,0.717898775,-0.018610014,1,0.104166667
3140000,0.390181601,1.732335448,1.316182149,0.495252039,0.668296456,0.627226806,0.039307848,0.954545455,0.214285714
4105700,0.828379676,0.028589752,0.169085042,0.896930233,0.949897766,0.913323327,-0.066649266,1,0.047619048
4196800,0.671144485,1.221640587,1.105278511,0.764733126,0.862027049,0.820773421,0.028681349,0.95,0.037735849
8109700,0.523022175,0.81747067,0.904140846,0.602088135,0.802547634,0.7284632,0.046346143,0.909090909,0.260869565
8175000,0.508309364,1.778840423,1.333731766,0.531891329,0.641594052,0.717142411,0.016622076,0.909090909,0.134615385
9210500,0.956150305,0.013352255,0.115551959,0.877418801,0.951269984,0.981807355,0.082842276,1,0.296296296
10336645,0.801719517,3.530406237,1.878937529,0.77843945,0.80746007,0.900536195,-0.024141034,1.384615385,0.333333333
12010000,0.585869163,61.10838318,7.817185119,0.510401544,0.60226655,0.802207682,-0.133009657,0.941176471,0.130434783
,0.639355448,7.506725145,1.766636983,0.667199553,0.767844731,0.8000874,-0.000175282,1.004851913,0.16400018
