basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.643173486,1.27091229,1.127347457,0.750953543,0.854049683,0.804666277,0.043308575,1.076923077,0.096774194
1350080,0.512574017,3.436165094,1.85368959,0.599739717,0.721583664,0.716445807,0.026347339,1,0.208333333
3140000,0.374034464,1.778205276,1.333493635,0.524533944,0.728464365,0.622805025,0.051843375,1.045454545,0.125
4105700,0.819010884,0.030150473,0.173638916,0.901216547,0.970912397,0.911021293,-0.085801572,1,0.126984127
4196800,0.680427015,1.18715775,1.08956769,0.810222182,0.934041679,0.83160649,0.025481839,1,0
8109700,0.53889519,0.790266633,0.888969422,0.689950338,0.832875788,0.739969141,0.005245183,1,0.282608696
8175000,0.510852486,1.769639969,1.330278155,0.553602251,0.666590393,0.716630192,-0.014226439,0.818181818,0.192307692
9210500,0.959074393,0.012461868,0.111632738,0.970665266,0.980297565,0.979336813,-0.005027312,1.111111111,0.333333333
10336645,0.838230625,2.88032198,1.697151136,0.89120676,0.931251585,0.915681749,-0.000125097,1,0.111111111
12010000,0.58371383,61.4264183,7.837500769,0.573253086,0.64521575,0.777062971,-0.052243229,1.058823529,0.304347826
,0.645998639,7.458169964,1.744326951,0.726534363,0.826528287,0.801522576,-0.000519734,1.011049408,0.178080031
