basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.644806236,1.265096903,1.124765266,0.717475612,0.798358917,0.803210749,0.017824648,1.076923077,0.080645161
1350080,0.504241168,3.494908571,1.869467457,0.578803439,0.694300175,0.710283123,0.002354858,1,0.166666667
3140000,0.378420293,1.765746355,1.32881389,0.477047392,0.649486542,0.616850883,0.031931575,0.954545455,0.214285714
4105700,0.790093899,0.034967672,0.186996449,0.884837851,0.97318989,0.908115633,-0.174199358,0.962962963,0.095238095
4196800,0.682495654,1.179473042,1.08603547,0.756044526,0.865601182,0.828393318,0.048532501,0.9,0.037735849
8109700,0.529680878,0.806058645,0.897807688,0.675339679,0.819184601,0.732929686,0.008071656,1,0.260869565
8175000,0.451216519,1.98539114,1.409039084,0.552022272,0.694762707,0.672108441,0.000188053,0.909090909,0.25
9210500,0.956456184,0.013259115,0.115148229,0.916290057,0.939820588,0.979641242,0.0406828,1,0.37037037
10336645,0.832272142,2.986413479,1.728124266,0.887353828,0.931567073,0.91254154,-0.009897826,1.153846154,0.185185185
12010000,0.606783628,58.02228165,7.617235827,0.580008447,0.654155314,0.795663969,-0.079201318,0.882352941,0.456521739
,0.63764666,7.155359657,1.736343363,0.70252231,0.802042699,0.795973858,-0.011371241,0.98397215,0.211751835
