basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.631703973,1.311763287,1.145322351,0.641899859,0.703619063,0.801148109,-0.024948407,1,0.129032258
1350080,0.474135935,3.707138777,1.925393149,0.475222391,0.571953535,0.701235491,-0.029690268,0.947368421,0.083333333
3140000,0.377856612,1.767347574,1.329416253,0.396079024,0.538215399,0.622329,0.048597824,0.954545455,0.089285714
4105700,0.808301508,0.031934518,0.178702318,0.81280905,0.842882872,0.913651351,-0.146454901,1.037037037,0.079365079
4196800,0.69783774,1.122480035,1.059471583,0.772846758,0.845796525,0.835520043,-0.012262477,0.95,0.018867925
8109700,0.53867659,0.790641248,0.889180099,0.605413441,0.712978661,0.734344808,0.01136854,1,0.282608696
8175000,0.529357523,1.702692151,1.304872465,0.524843842,0.601947248,0.740679625,0.001442709,1,0.269230769
9210500,0.95070415,0.015010612,0.122517803,0.852116326,0.859863997,0.983387801,-0.033004083,1,0.37037037
10336645,0.847622976,2.713090181,1.647146072,0.87888875,0.908421755,0.920746966,-0.000294604,1,0.222222222
12010000,0.595868021,59.63296127,7.7222381,0.576368429,0.65247947,0.787137747,-0.074732713,0.882352941,0.108695652
,0.645206503,7.279505966,1.732426019,0.653648787,0.723815852,0.804018094,-0.025997838,0.977130385,0.165301202
