basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.628327608,1.323788881,1.150560247,0.659089202,0.737163365,0.797873977,-0.067745909,1,0.112903226
1350080,0.491527081,3.584537983,1.893287612,0.501297981,0.610901594,0.71119601,-0.064913362,1.052631579,0.208333333
3140000,0.366177559,1.800524831,1.341836365,0.420521828,0.58547771,0.607764021,-0.051989608,1,0.214285714
4105700,0.791070864,0.034804925,0.186560782,0.866450977,0.930913985,0.910244406,-0.192475155,1.037037037,0.158730159
4196800,0.679362744,1.191111326,1.091380468,0.732868687,0.799114168,0.824661458,-0.007148798,0.95,0
8109700,0.509392172,0.840830445,0.916968072,0.56501657,0.672655761,0.714999499,0.006255711,0.909090909,0.347826087
8175000,0.481390357,1.876228213,1.3697548,0.433868896,0.536596179,0.717483801,-0.025929278,0.909090909,0.326923077
9210500,0.950378381,0.015109809,0.122921964,0.881763468,0.902832389,0.9790119,-0.047776446,1,0.333333333
10336645,0.79792437,3.597979307,1.896834022,0.72732641,0.784640074,0.904066058,-0.071753383,1.230769231,0.407407407
12010000,0.586978674,60.944664,7.806706348,0.528362898,0.619750679,0.795577778,-0.122679114,1.117647059,0.152173913
,0.628252981,7.520957972,1.777681068,0.631656692,0.71800459,0.796287891,-0.064615534,1.020626672,0.226191625
