basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.629953355,1.317998528,1.14804117,0.654988545,0.720939577,0.797429856,-0.009499481,1,0.14516129
1350080,0.495607257,3.555774212,1.885676062,0.553948274,0.665367723,0.705121833,-0.003028283,0.947368421,0.145833333
3140000,0.366175175,1.800531626,1.341838897,0.424306748,0.605229974,0.61036986,0.079685822,1,0.089285714
4105700,0.813034847,0.031146005,0.176482307,0.845927086,0.882677555,0.908937826,-0.111550599,1,0.063492063
4196800,0.680751741,1.185951471,1.08901399,0.750021648,0.879007399,0.828800939,0.060320403,1,0.018867925
8109700,0.536105603,0.795047581,0.891654407,0.63538055,0.79114604,0.734956681,-0.029974101,1,0.52173913
8175000,0.50441137,1.792942524,1.339008037,0.489622864,0.617861688,0.71785277,-0.030050054,1,0.288461538
9210500,0.932909474,0.020429099,0.142930399,0.82113984,0.919438899,0.974573648,-0.117662534,1,0.444444444
10336645,0.764796913,4.187817574,2.046415787,0.709276868,0.751572251,0.886390257,-0.052104633,1,0.296296296
12010000,0.463516176,79.16256714,8.897334833,0.343206413,0.447935492,0.777213699,-0.179223016,1.176470588,0.260869565
,0.618726191,9.385020576,1.895839589,0.622781884,0.72811766,0.794164737,-0.039308648,1.012383901,0.22744513
