basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.648076683,1.253448486,1.119575137,0.726969469,0.809967816,0.805280646,0.019449838,1.115384615,0.209677419
1350080,0.515445441,3.41592288,1.848221545,0.574066796,0.679904282,0.719009982,0.000859259,1,0.145833333
3140000,0.384336233,1.748940825,1.322475265,0.473155884,0.650496244,0.62346551,0.060352188,1,0.107142857
4105700,0.814953402,0.030826397,0.175574478,0.905548475,1.009080052,0.913015104,-0.09702909,1,0.047619048
4196800,0.677597642,1.197668314,1.094380333,0.748960252,0.901149869,0.829157808,0.068717927,1,0.037735849
8109700,0.510824621,0.838375509,0.915628477,0.57177168,0.827804506,0.724660216,0.060572799,1,0.043478261
8175000,0.500440747,1.807307482,1.344361366,0.475755409,0.584816635,0.720812534,0.025201319,0.818181818,0.096153846
9210500,0.966444783,0.010217581,0.101082051,0.905373954,0.960544765,0.985426874,0.063263059,0.777777778,0.259259259
10336645,0.839972511,2.849307537,1.687989199,0.835869908,0.857825518,0.918520572,0.004863058,0.923076923,0.111111111
12010000,0.588227481,60.76039124,7.794895204,0.523547152,0.609693229,0.798965689,-0.11956019,1,0.130434783
,0.644631954,7.391240625,1.740418305,0.674101898,0.789128292,0.803831493,0.008669017,0.963442113,0.118844577
