basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.656610906,1.223052025,1.105916825,0.72150692,0.796051085,0.81046055,-0.005271173,1,0.129032258
1350080,0.515181124,3.417786121,1.84872554,0.554148498,0.654793322,0.721229299,-0.024018701,1.105263158,0.166666667
3140000,0.365649045,1.802026153,1.342395677,0.492208748,0.691326678,0.612520075,0.057631299,1,0.053571429
4105700,0.819109753,0.030134002,0.173591479,0.845746036,0.880211532,0.914036427,-0.123323709,1.037037037,0.126984127
4196800,0.681471825,1.183276415,1.087785096,0.781669494,0.898247242,0.82935297,0.040100716,1,0
8109700,0.536517739,0.794341207,0.891258215,0.61543769,0.737540841,0.732732822,0.018882437,1.090909091,0.195652174
8175000,0.52011472,1.736130953,1.317623221,0.548834006,0.642958522,0.725968907,0.00503697,1,0.269230769
9210500,0.96518651,0.010600726,0.102959828,0.940893258,0.987044096,0.983309618,0.04119895,1,0.333333333
10336645,0.823543563,3.14182663,1.772519853,0.883852067,0.935896397,0.908060054,0.015956534,1,0.185185185
12010000,0.588273853,60.75355148,7.794456458,0.532177139,0.623013854,0.795293277,-0.120571069,0.941176471,0.282608696
,0.647165904,7.409272571,1.743723219,0.691647386,0.784708357,0.8032964,-0.009437775,1.017438576,0.174226464
