basin,1,2,3,4,5,6,7,8,9,10
1139000,0.648288071,0.656610906,0.631849766,0.648253709,0.640992612,0.364464879,-0.244100094,0.107607484,-0.244313955,-0.254779816
1350080,0.519871235,0.515181124,0.489884138,0.50262481,0.521784604,0.269461513,-0.086588621,0.054172873,-0.086679101,-0.09111917
3140000,0.391255379,0.365649045,0.375339091,0.387441456,0.372713506,0.245415926,-0.01277566,0.005426645,-0.012830377,-0.015625358
4105700,0.829180777,0.819109753,0.782201782,0.746607304,0.799350396,-0.77361238,-1.107946634,-0.232143879,-1.110052824,-1.214471817
4196800,0.685385495,0.681471825,0.670331597,0.690616965,0.686775237,0.348854661,-0.008071542,-0.087535024,-0.00810957,-0.010062337
8109700,0.531774223,0.536517739,0.517523259,0.530961573,0.535154521,0.173071086,-0.091766477,-0.119339347,-0.091577888,-0.082665443
8175000,0.512036741,0.52011472,0.534979463,0.472874522,0.508097887,0.135314047,-0.038763285,-0.005540848,-0.038679004,-0.034698367
9210500,0.969056385,0.96518651,0.954789799,0.964273468,0.938974675,0.486281931,-0.237326264,0.409098864,-0.236605644,-0.203033328
10336645,0.827735975,0.823543563,0.831162512,0.802501678,0.843525082,0.308040917,-0.131374478,0.202802539,-0.131444454,-0.134863853
12010000,0.570823342,0.588273853,0.614753008,0.605936795,0.588794529,0.010030806,-0.348066449,0.220394194,-0.348106146,-0.350029349
,0.6485,0.6472,0.6403,0.6352,0.6436,0.1567,-0.2307,0.0555,-0.2308,-0.2391
