basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.649911612,1.246912956,1.116652567,0.726466504,0.813423991,0.807535924,0.046561603,1.038461538,0.129032258
1350080,0.511916488,3.440800667,1.854939532,0.575241912,0.685680211,0.716394223,0.018996496,1,0.1875
3140000,0.371591508,1.785145164,1.336093247,0.479122963,0.677705407,0.617114078,0.074612178,0.954545455,0.071428571
4105700,0.785258561,0.035773177,0.189137983,0.862791292,0.924201787,0.895992203,-0.129412815,1,0.111111111
4196800,0.683784932,1.17468369,1.083828257,0.760688353,0.873206556,0.829502427,0.048777923,1,0.018867925
8109700,0.528328836,0.808375835,0.899097234,0.591302037,0.831831038,0.735431465,0.056901183,1,0.369565217
8175000,0.500257522,1.807970405,1.3446079,0.496346468,0.626484096,0.713159159,0.028739642,1,0.307692308
9210500,0.944917414,0.016772676,0.129509367,0.889759024,0.902298212,0.975383936,0.033389699,0.888888889,0.259259259
10336645,0.836996347,2.902298212,1.703613281,0.859077451,0.887800336,0.915302844,-0.005152972,0.923076923,0.074074074
12010000,0.573248565,62.97065353,7.935405064,0.644723626,0.744449317,0.75788293,0.030944137,1.235294118,0.586956522
,0.638621179,7.618938632,1.759288443,0.688551963,0.796708095,0.796369919,0.020435707,1.004026692,0.211548725
