basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.723633498,0.933177531,0.966011144,0.781189349,0.884602904,0.856889152,-0.099284917,0.217391304,0.482142857
1350080,0.619728237,2.872306347,1.694787995,0.508934545,0.601470411,0.828517974,-0.123138674,0.294117647,0.325581395
3140000,0.753917098,0.61263001,0.782706848,0.850553577,0.927243769,0.870186902,0.007256298,0.285714286,0.428571429
4105700,0.492352903,0.086696289,0.294442336,0.748235847,0.906900227,0.837936264,-0.452800632,0.083333333,0.339285714
4196800,0.707116783,1.06877315,1.033814853,0.813633035,1.023220778,0.858473982,0.052146725,0.444444444,0.434782609
8109700,0.664713889,0.635018051,0.796880198,0.803307143,1.07167542,0.846205639,0.022660203,1.090909091,0.558139535
8175000,0.661712378,1.35542953,1.164229157,0.619586522,0.718692005,0.820363251,-0.030764326,0.454545455,0.361702128
9210500,0.717854142,0.0929491,0.304875548,0.683766988,0.746357799,0.860024592,-0.094170108,1,0.652173913
10336645,0.767947257,4.478829384,2.116324499,0.690719572,0.76745975,0.889413027,-0.09075056,0.25,0.36
12010000,0.865643978,19.23033524,4.385240613,0.847638599,0.869876742,0.932943445,-0.027605956,0,0.219512195
,6.974620163,31.36614463,13.53931319,7.347565178,8.517499804,8.600954228,-0.836451947,4.12045556,4.161891775
