basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1022500,0.816455603,0.903677404,0.950619484,0.8495623,0.898597836,0.905123325,0.052440781,1,0.133333333
1031500,0.701962739,2.799764872,1.673249794,0.710063363,0.757795811,0.842192285,0.014224651,1,0.08
1047000,0.628623337,3.963412523,1.990832118,0.648339938,0.712592721,0.797380286,0.001736303,1,0.12962963
1052500,0.626136929,4.896221161,2.212740645,0.604951997,0.657397926,0.805139973,-0.01690153,0.954545455,0.084745763
1054200,0.31963402,20.05203438,4.477949796,0.32520079,0.487203449,0.574549407,-0.053326771,1,0.052631579
1055000,0.386740208,10.85480595,3.294663252,0.419365045,0.557583809,0.625958934,-0.020229004,1,0.052631579
1057000,0.627218902,2.738772631,1.654923754,0.664758332,0.741971135,0.794602011,0.03746289,1.045454545,0.108695652
1073000,0.590818733,2.693898916,1.641310122,0.640613095,0.734499216,0.771041596,0.048487533,1,0.083333333
1078000,0.761563748,1.431524515,1.196463336,0.776627395,0.823061466,0.87502152,0.037403811,0.904761905,0.156862745
1123000,0.529507786,2.316204071,1.521908036,0.669464327,0.812700331,0.733363732,0.044948019,1.045454545,0.086206897
1134500,0.636844873,2.985012293,1.727718812,0.65796843,0.722924292,0.802300329,0.023245933,1,0.109375
1137500,0.457632422,5.515262604,2.348459624,0.518167345,0.642938077,0.677668452,-0.01989679,1,0.047619048
1139000,0.636791825,1.293641806,1.137383755,0.74854946,0.859905124,0.80210692,0.056947928,1,0.080645161
1139800,0.658739895,1.244478941,1.115562164,0.770983569,0.879840374,0.816281768,0.059467316,0.96,0.089285714
1142500,0.656694233,1.695029974,1.301933168,0.718718762,0.798146367,0.81149586,0.040658571,1,0.089285714
1144000,0.677344143,1.586105704,1.259406886,0.73804053,0.813078463,0.824071727,0.040363293,1,0.107142857
1162500,0.808992669,0.971292019,0.985541485,0.838588874,0.898495376,0.901405921,0.059426405,1.05,0.108695652
1169000,0.522469163,4.296579361,2.072819182,0.608123288,0.723361254,0.72290323,0.0109416,1,0.122807018
1170100,0.540807784,3.711690426,1.926574791,0.637198905,0.752911091,0.735866609,0.020033579,1.055555556,0.172413793
1181000,0.501541644,4.570755005,2.137932414,0.603888948,0.732696056,0.708812017,0.017388808,1,0.050847458
1187300,0.381572664,8.292375565,2.879648514,0.485238441,0.654236674,0.618754904,0.005107326,1,0.064516129
1195100,0.420796931,3.449276447,1.857222778,0.582501663,0.771565616,0.660465473,0.055448126,1.083333333,0.103448276
1333000,0.704663157,1.391171575,1.179479366,0.790905449,0.879421294,0.842002995,0.053905327,1,0.113207547
1350000,0.391627073,8.673398018,2.94506333,0.449991304,0.596439421,0.62656661,-0.007140012,1.045454545,0.092592593
1350080,0.528559119,3.323476553,1.823040469,0.607847368,0.722557902,0.727579203,0.028057192,1,0.041666667
1350140,0.559712201,3.165008783,1.779047156,0.601743459,0.695226789,0.750879593,0.031791985,1,0.019607843
1365000,0.543363899,5.244918823,2.290178775,0.595667973,0.691519797,0.738643244,-0.00305271,1.086956522,0.098039216
1411300,0.698910981,0.512802064,0.716101993,0.779734019,0.859923482,0.837875247,0.051359665,1.05,0.20754717
