basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1022500,0.852156147,0.727906466,0.853174347,0.874893974,0.902157784,0.923467347,-0.013479472,0.695652174,0.333333333
1031500,0.730024576,2.536151648,1.592529952,0.797942539,0.863529682,0.854721452,-0.021132996,0.772727273,0.24
1047000,0.640401721,3.837710857,1.959007621,0.733593341,0.826516211,0.800995041,-0.023237456,0.863636364,0.166666667
1052500,0.666947514,4.361753941,2.088481252,0.724939203,0.796655953,0.817137962,-0.018638572,0.818181818,0.203389831
1054200,0.330081642,19.74411774,4.443435353,0.374667121,0.556488812,0.578576657,-0.064664505,0.863636364,0.228070175
1055000,0.387943983,10.83349895,3.291428103,0.471011224,0.63712281,0.624552242,-0.04431076,0.909090909,0.157894737
1057000,0.644495964,2.611840487,1.616118958,0.720154848,0.803880453,0.803062865,-0.020332044,0.818181818,0.260869565
1073000,0.588987827,2.705953121,1.644978152,0.664194256,0.758188844,0.767580018,-0.010151837,0.85,0.25
1078000,0.793238327,1.241356492,1.114161789,0.794573679,0.826913178,0.893341281,-0.020189185,0.714285714,0.31372549
1123000,0.560309321,2.164569855,1.47124772,0.679699003,0.800583541,0.750457057,-0.019072028,0.772727273,0.172413793
1134500,0.649167567,2.883723974,1.698153107,0.723894795,0.803955972,0.805728997,-0.005339894,0.826086957,0.40625
1137500,0.46915555,5.398085117,2.323377954,0.547640089,0.679332554,0.686239515,-0.041489571,0.956521739,0.206349206
1139000,0.635119975,1.299596548,1.139998486,0.762022336,0.870997131,0.800106513,0.005000129,0.923076923,0.112903226
1139800,0.634408444,1.333208799,1.154646612,0.777181876,0.898065805,0.802325309,0.012296617,0.92,0.267857143
1142500,0.669135451,1.633602977,1.278124789,0.735955746,0.808979511,0.818110121,-0.009237292,1,0.267857143
1144000,0.693996459,1.504246473,1.226477262,0.760234306,0.828657746,0.833184945,-0.013422601,0.956521739,0.178571429
1162500,0.845647544,0.784898221,0.885944819,0.880760803,0.912235439,0.919639074,-0.005802725,0.7,0.217391304
1169000,0.538917959,4.148581505,2.036806693,0.65478802,0.781551659,0.736090262,-0.02905436,1.047619048,0.298245614
1170100,0.548756599,3.64743948,1.909827081,0.661780459,0.784469903,0.742519592,-0.02861671,1.166666667,0.396551724
1181000,0.508103758,4.51058197,2.123813073,0.649057761,0.794844329,0.717393017,-0.023457166,0.857142857,0.288135593
1187300,0.38525027,8.243062019,2.871073322,0.530477401,0.719099939,0.628171669,-0.032885522,0.857142857,0.225806452
1195100,0.460137606,3.214994192,1.793040488,0.605259428,0.764917672,0.683312776,-0.010927619,0.958333333,0.224137931
1333000,0.719114661,1.323098302,1.150260102,0.816427261,0.895518303,0.849293644,-0.006950016,0.869565217,0.339622642
1350000,0.385945916,8.754393578,2.958782449,0.480456697,0.65162009,0.62327853,-0.041558154,0.818181818,0.203703704
1350080,0.548928499,3.179880142,1.783221843,0.640711069,0.753338516,0.741261648,-0.019861367,0.789473684,0.229166667
1350140,0.599317878,2.880303383,1.697145658,0.712755716,0.820860744,0.775487,-0.001844248,0.952380952,0.196078431
1365000,0.552355886,5.141636848,2.267517772,0.637764571,0.749355376,0.744340026,-0.040756144,0.869565217,0.156862745
1411300,0.746199846,0.432261676,0.657466102,0.77166635,0.815688252,0.865254871,-0.003046158,0.85,0.188679245
1413500,0.575733572,3.600054979,1.897381084,0.663243004,0.766895175,0.75909086,-0.020602506,0.857142857,0.1875
1414500,0.507766068,4.868886948,2.206555449,0.62841046,0.764241517,0.71462462,-0.021459227,0.739130435,0.239130435
1415000,0.587995946,2.461843014,1.569026135,0.704300205,0.816304028,0.768313815,-0.002682409,0.9,0.24
1423000,0.683422387,1.975634813,1.405572771,0.757416137,0.830371022,0.826713822,-0.00447023,0.80952381,0.270833333
1434025,0.455228269,10.0225544,3.165841815,0.525389312,0.664193511,0.677338611,-0.058194347,0.875,0.229508197
1435000,0.387261152,11.58521271,3.403705732,0.465687061,0.630379856,0.625066452,-0.058469754,0.92,0.245283019
1439500,0.828626588,0.839217603,0.916088207,0.859168814,0.892181873,0.910558211,-0.012327434,0.739130435,0.18
1440000,0.621033043,1.805503964,1.343690427,0.726721336,0.827189445,0.789122194,-0.015220748,0.958333333,0.148148148
1440400,0.630377531,2.55952549,1.599851709,0.690573686,0.770881295,0.794708033,-0.024811141,0.904761905,0.354166667
1451800,0.551008523,3.290905476,1.8140853,0.661037721,0.780547798,0.743460567,-0.018698672,0.956521739,0.192982456
1466500,0.811640859,0.042314317,0.205704441,0.868985873,0.918903589,0.902800413,0.056110576,0.9,0.14893617
1484100,0.537456751,0.950812995,0.975096403,0.60112141,0.703049779,0.733781848,-0.005879301,1,0.196428571
1487000,0.74878338,0.34489435,0.587277064,0.81440264,0.87226671,0.86535037,0.000257504,0.722222222,0.285714286
1491000,0.566259801,1.907225013,1.381023176,0.619269161,0.711160779,0.753926433,-0.017787131,0.777777778,0.235294118
1510000,0.689209551,2.070863008,1.439049342,0.772984188,0.849787235,0.83047754,-0.010511099,0.894736842,0.12962963
1516500,0.27988416,5.453296185,2.335229364,0.419579381,0.646544397,0.53973102,-0.004030864,0.8,0.301886792
1518862,0.395065606,3.654057741,1.911558982,0.603618678,0.814421594,0.649755594,-0.001362571,0.882352941,0.163265306
1532000,0.279998422,8.080384254,2.84260167,0.359257311,0.566330671,0.530686981,-0.018967746,1,0.230769231
1539000,0.647645622,2.252511978,1.500837092,0.735800668,0.822556674,0.805039763,-0.011686186,0.904761905,0.224489796
1542810,0.548559874,4.023320675,2.005821696,0.63578838,0.747898281,0.74109101,-0.02469153,0.789473684,0.169811321
