basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1022500,0.85482724,0.714755356,0.845432053,0.866992588,0.896716416,0.925688947,-0.035119459,0.782608696,0.311111111
1031500,0.74173829,2.42611289,1.557598437,0.764044994,0.820802093,0.863458226,-0.044746976,0.818181818,0.22
1047000,0.657042325,3.660118818,1.9131437,0.697540059,0.773840785,0.812915569,-0.047565654,0.727272727,0.111111111
1052500,0.674028873,4.269014359,2.066159326,0.696910121,0.760984838,0.824378476,-0.039398339,0.863636364,0.254237288
1054200,0.340488076,19.43741417,4.408788288,0.371459629,0.546360373,0.589528167,-0.072055243,1,0.175438596
1055000,0.400239527,10.61586571,3.258199765,0.466838309,0.626380384,0.635203986,-0.056273941,0.954545455,0.122807018
1057000,0.656367749,2.524620056,1.588905301,0.699401032,0.775631607,0.812113001,-0.042765867,0.909090909,0.173913043
1073000,0.615838349,2.529179335,1.590339377,0.656398074,0.736029387,0.787153462,-0.034037888,0.8,0.104166667
1078000,0.78985779,1.261652708,1.123233149,0.775416434,0.812883079,0.893459925,-0.043820176,0.80952381,0.333333333
1123000,0.563301504,2.149839401,1.466233065,0.682825237,0.807395101,0.753688327,-0.043129392,0.818181818,0.086206897
1134500,0.661975384,2.778448105,1.666867753,0.712036049,0.783751488,0.814750065,-0.029688152,0.826086957,0.296875
1137500,0.47593379,5.329158306,2.30849698,0.547654805,0.678520143,0.692514185,-0.058705181,1.043478261,0.222222222
1139000,0.660114795,1.210572243,1.10026008,0.760679121,0.853470027,0.813971268,-0.029568721,0.923076923,0.193548387
1139800,0.664167136,1.224687219,1.106655872,0.787946818,0.891916811,0.818432016,-0.016242631,0.88,0.267857143
1142500,0.675727218,1.601056933,1.265328785,0.740754985,0.814954102,0.822589554,-0.029462874,1.05,0.232142857
1144000,0.690505534,1.521407127,1.233453334,0.7470064,0.817117929,0.831927383,-0.037125029,0.913043478,0.107142857
1162500,0.843489498,0.795872033,0.892116603,0.85395333,0.885042012,0.919591698,-0.031075587,0.9,0.195652174
1169000,0.542085916,4.12007761,2.029797431,0.638660993,0.76255548,0.738499371,-0.052121911,0.952380952,0.192982456
1170100,0.555583388,3.592258215,1.895325359,0.658528414,0.780091524,0.747596002,-0.047543973,1.055555556,0.189655172
1181000,0.506077737,4.529160023,2.128182328,0.631954623,0.777923167,0.715815054,-0.049558524,0.904761905,0.152542373
1187300,0.385391355,8.241171837,2.870744126,0.519441597,0.709817886,0.628378529,-0.053253233,0.904761905,0.241935484
1195100,0.450878382,3.270135164,1.808351505,0.606281606,0.776862502,0.679312792,-0.032734498,0.958333333,0.224137931
1333000,0.708276242,1.374152303,1.172242425,0.794709479,0.87480104,0.842929932,-0.03519734,1,0.226415094
1350000,0.393283606,8.649782181,2.941051203,0.454561613,0.617298722,0.630215657,-0.061003271,0.863636364,0.166666667
1350080,0.534792989,3.279530048,1.810947279,0.618651629,0.737627149,0.732338743,-0.038718097,0.789473684,0.229166667
1350140,0.583726197,2.992384195,1.729850917,0.650909394,0.748279929,0.764769801,-0.029575722,0.952380952,0.196078431
1365000,0.544599265,5.230729103,2.287078727,0.622235831,0.73577255,0.739930196,-0.053666882,0.956521739,0.137254902
1411300,0.728309274,0.462732106,0.680244152,0.751394637,0.802715123,0.856442388,-0.04793397,0.8,0.169811321
1413500,0.569171101,3.655739784,1.911998898,0.632668823,0.733019769,0.755889146,-0.040918257,0.904761905,0.1875
1414500,0.528345644,4.665326118,2.159936601,0.611788623,0.729496598,0.727926726,-0.039105196,0.782608696,0.260869565
1415000,0.603130966,2.371406794,1.539937269,0.695412555,0.79619354,0.777333285,-0.027575107,1.1,0.28
1423000,0.671750337,2.048475504,1.43124963,0.733013289,0.806775749,0.820147478,-0.026697213,0.80952381,0.208333333
1434025,0.446555138,10.18211937,3.190943335,0.512243565,0.655683637,0.671994238,-0.068957061,1,0.180327869
1435000,0.391465783,11.50571537,3.392007572,0.478332776,0.645484269,0.628724626,-0.05956522,1.12,0.188679245
1439500,0.832695782,0.819290757,0.905146815,0.844147702,0.877465427,0.914001224,-0.036980953,0.869565217,0.18
1440000,0.646148235,1.685848236,1.298402186,0.720127343,0.805760622,0.804879068,-0.041003264,0.958333333,0.055555556
1440400,0.615069658,2.665527821,1.632644426,0.676213445,0.764415085,0.785777929,-0.043827988,0.952380952,0.229166667
1451800,0.567814976,3.167721748,1.77980947,0.626740317,0.730933487,0.755768734,-0.052484356,1,0.105263158
1466500,0.814745024,0.041616976,0.204002393,0.865662643,0.911037683,0.904083771,-0.0507355,1,0.255319149
1484100,0.531514198,0.96302861,0.981340211,0.628906043,0.748638809,0.730027817,-0.032864422,1,0.089285714
1487000,0.742365897,0.35370487,0.594730922,0.798025164,0.861411631,0.863375456,-0.055203859,0.722222222,0.142857143
1491000,0.584362835,1.827623129,1.351896124,0.631032977,0.721197486,0.76661791,-0.035737589,0.777777778,0.137254902
1510000,0.687967598,2.079138517,1.441921814,0.755694136,0.830554545,0.830030065,-0.031337395,1.052631579,0.185185185
1516500,0.279617488,5.45531559,2.335661703,0.428170554,0.660464525,0.542147428,-0.017533585,0.8,0.188679245
1518862,0.436984956,3.400847435,1.84413867,0.565633414,0.729886115,0.664857422,-0.028666571,0.882352941,0.102040816
1532000,0.241141975,8.516459465,2.918297357,0.348724598,0.591232359,0.500594569,-0.035181396,1,0.192307692
1539000,0.643251628,2.28060174,1.51016613,0.735175423,0.829858243,0.803151693,-0.03298125,0.904761905,0.244897959
1542810,0.538235784,4.115331173,2.028627904,0.617620001,0.737844348,0.735127074,-0.046569433,1,0.188679245
1543000,0.653102458,2.219416142,1.4897705,0.719915182,0.803436995,0.80903758,-0.037523154,0.714285714,0.211538462
1543500,0.706339777,1.564249039,1.25069942,0.770912102,0.842082798,0.841130145,-0.034047123,0.9,0.12244898
1544500,0.696646243,2.2686975,1.506219606,0.748005213,0.817662477,0.835581265,-0.035053153,0.944444444,0.142857143
1545600,0.731550783,1.563609481,1.250443714,0.784741125,0.846523345,0.855872454,-0.029656449,0.789473684,0.219512195
1547700,0.600765556,2.442517757,1.562855642,0.709632218,0.822600603,0.777047363,-0.031015351,0.95,0.040816327
1548500,0.731962502,1.327983022,1.152381457,0.796247145,0.86250633,0.856042643,-0.028368037,0.736842105,0.217391304
1549500,0.496485829,4.444073677,2.10809717,0.622043508,0.770301223,0.70835594,-0.038014885,0.952380952,0.1875
1550000,0.454241097,5.273036957,2.296309421,0.553365701,0.703146815,0.676020991,-0.045027725,1,0.215686275
1552000,0.536646873,3.652113199,1.911050287,0.622994815,0.74276948,0.733963847,-0.044480707,0.818181818,0.160714286
1552500,0.376226664,7.137523651,2.671614428,0.515388583,0.706021607,0.620416802,-0.036907919,0.956521739,0.214285714
1557500,0.657620728,1.880961776,1.371481599,0.727698246,0.812002838,0.811986416,-0.041245695,1.1,0.22
1567500,0.45776099,3.763606548,1.940001688,0.549809877,0.694827199,0.677974565,-0.040056929,0.85,0.185185185
1568000,0.540927052,3.116953135,1.765489489,0.621825478,0.738473058,0.736651042,-0.041525442,0.904761905,0.235294118
1580000,0.242720544,1.870274425,1.367579769,0.4184562,0.676449597,0.518639891,-0.036916766,0.956521739,0.129032258
1583500,0.19234699,1.449160933,1.203811004,0.411664185,0.707755089,0.490274644,-0.026915915,0.954545455,0.096774194
1586610,0.2443102,2.435169935,1.560503103,0.412101342,0.666811585,0.517156733,-0.027282931,0.92,0.262295082
1591400,0.109135628,3.487309694,1.867433987,0.233608787,0.556641757,0.377164134,-0.030084912,1.1,0.241935484
1594950,0.498773336,4.164520741,2.040715742,0.650414628,0.807688236,0.713378631,-0.035234947,1,0.204081633
1596500,0.671545327,2.28015089,1.510016851,0.7149289,0.791302562,0.821227684,-0.044430804,0.947368421,0.2
1605500,0.418698788,2.25917244,1.50305437,0.52804305,0.689328671,0.648970146,-0.02889052,0.904761905,0.108695652
1606500,0.548629075,2.273999691,1.507978677,0.641474821,0.757682383,0.741532498,-0.031313781,0.952380952,0.117647059
1632000,0.29612112,6.707288265,2.58984329,0.356426569,0.555032015,0.545242762,-0.032750681,0.913043478,0.120689655
1632900,0.346014738,2.326792479,1.525382732,0.441078804,0.624590933,0.589931861,-0.028347418,1.055555556,0.169811321
1634500,0.338373303,4.283296108,2.06961255,0.434306604,0.624042273,0.583973324,-0.032343205,1,0.169811321
1638480,0.275641024,3.888527393,1.971934936,0.408566198,0.638778508,0.535735488,-0.027452931,1,0.274509804
