basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1022500,0.853038773,0.72356087,0.850623812,0.847700534,0.874498904,0.925896984,-0.040058743,0.739130435,0.266666667
1031500,0.732004404,2.517553091,1.586679896,0.769559593,0.830096245,0.856883688,-0.039085656,0.954545455,0.26
1047000,0.653454393,3.698410034,1.92312507,0.707770851,0.786783397,0.809660778,-0.039658144,0.727272727,0.111111111
1052500,0.671142548,4.306814671,2.075286648,0.727615573,0.800120711,0.819912232,-0.026866227,0.863636364,0.203389831
1054200,0.364398718,18.73270988,4.328130068,0.424194685,0.598111689,0.606922158,-0.062275726,0.818181818,0.245614035
1055000,0.401019454,10.60206127,3.256080661,0.495114238,0.661110461,0.635306452,-0.043920305,0.818181818,0.175438596
1057000,0.655897468,2.528075218,1.589992207,0.703740401,0.777250528,0.811183373,-0.031138202,1,0.195652174
1073000,0.602549404,2.616668701,1.617612037,0.65826687,0.742614865,0.777232161,-0.018496063,0.85,0.125
1078000,0.796382159,1.222481608,1.105658902,0.785568697,0.818117857,0.896399019,-0.031954352,0.761904762,0.37254902
1123000,0.554802567,2.191679239,1.480432112,0.695043429,0.828403234,0.749353194,-0.02187903,0.818181818,0.224137931
1134500,0.665829271,2.746770382,1.657338343,0.724432084,0.795954108,0.816415904,-0.016940262,0.869565217,0.296875
1137500,0.482026994,5.267196655,2.295037397,0.580567376,0.717015266,0.695831133,-0.041293982,0.913043478,0.158730159
1139000,0.62543422,1.334094286,1.155029994,0.775601165,0.902824402,0.797799425,-0.004413889,0.884615385,0.161290323
1139800,0.625881493,1.364304066,1.168034274,0.772429193,0.896514654,0.797321343,0.000716078,0.88,0.321428571
1142500,0.667662829,1.640873909,1.280966006,0.748303443,0.827881336,0.817298235,-0.014198434,1,0.232142857
1144000,0.690977097,1.519089103,1.232513328,0.767928646,0.842094004,0.831509054,-0.017837388,1,0.196428571
1162500,0.848898023,0.768369198,0.87656671,0.844856731,0.869733214,0.923298425,-0.026696702,0.75,0.173913043
1169000,0.513971925,4.373033047,2.091179822,0.653745895,0.79989785,0.721968413,-0.034546502,1.238095238,0.210526316
1170100,0.537243068,3.740504503,1.934038392,0.664643692,0.798472583,0.736392584,-0.034308493,1.111111111,0.379310345
1181000,0.493712604,4.6425457,2.154656748,0.636411086,0.78918314,0.708134192,-0.034241714,1,0.220338983
1187300,0.398878574,8.060323715,2.839070925,0.525461823,0.703535557,0.636446109,-0.041037925,0.904761905,0.193548387
1195100,0.442715585,3.31874609,1.821742597,0.609007844,0.784449875,0.674548858,-0.014910919,1,0.275862069
1333000,0.705032259,1.389432907,1.178742087,0.815566196,0.906179428,0.842225211,-0.014862007,0.913043478,0.20754717
1350000,0.3665573,9.03081131,3.005130831,0.475276761,0.662003338,0.609555204,-0.047429387,1,0.222222222
1350080,0.517854393,3.398940563,1.843621589,0.611681276,0.735280037,0.72029955,-0.027434096,0.894736842,0.145833333
1350140,0.592088461,2.932272196,1.712387864,0.679168372,0.777497649,0.769572632,-0.009529094,1,0.176470588
1365000,0.548972696,5.180496216,2.276070345,0.634434319,0.748674095,0.74249119,-0.047772791,0.739130435,0.215686275
1411300,0.749701798,0.426297277,0.652914449,0.782559,0.828397036,0.866746704,-0.008794837,0.65,0.188679245
1413500,0.582421511,3.543305159,1.882366903,0.664605832,0.765773773,0.763644254,-0.026953822,0.904761905,0.208333333
