531,Masked Transformer,Masked Transformer,No Mask Transformer,Transformer Encoder,LSTM
1,-0.028394818,0.188323917,-0.041035891,-0.550689459,-3.936056137
2,-0.01383996,0.376647834,-0.038660407,-0.224771976,-0.179480076
3,0.025167823,0.564971751,0.016553998,-0.176066041,0.065961182
4,0.052437484,0.753295669,0.045496404,-0.087758303,0.089715302
5,0.056347847,0.941619586,0.05307436,0.082799733,0.113673389
6,0.064221144,1.129943503,0.057337105,0.096084297,0.11606878
7,0.066923022,1.31826742,0.06905812,0.099438548,0.123276234
8,0.084461868,1.506591337,0.096106768,0.110510826,0.148452103
9,0.086559117,1.694915254,0.102809787,0.13136369,0.185734868
10,0.093036652,1.883239171,0.109675765,0.14295423,0.190271854
11,0.101983368,2.071563089,0.118687153,0.146859825,0.210113585
12,0.109135628,2.259887006,0.131205142,0.170648813,0.237795293
13,0.124020278,2.448210923,0.134203851,0.180092335,0.239028335
14,0.127548158,2.63653484,0.13962549,0.182070017,0.265137017
15,0.138520002,2.824858757,0.140931249,0.208985567,0.290855706
16,0.143942177,3.013182674,0.148570597,0.256293833,0.299356163
17,0.149895549,3.201506591,0.154954672,0.265597045,0.311517835
18,0.153630674,3.389830508,0.156632006,0.27397424,0.315790057
19,0.159523845,3.578154426,0.159718037,0.277230024,0.320134401
20,0.161287963,3.766478343,0.164422035,0.279582143,0.328334928
21,0.163593948,3.95480226,0.167269111,0.293457627,0.328453064
22,0.166325629,4.143126177,0.167283654,0.303485096,0.329893351
23,0.166920125,4.331450094,0.16779834,0.311805844,0.330138743
24,0.170741796,4.519774011,0.174291968,0.329508901,0.35766077
25,0.172133446,4.708097928,0.176520109,0.333646715,0.362908363
26,0.179781139,4.896421846,0.17784822,0.337829053,0.364092231
27,0.18156004,5.084745763,0.178840101,0.352763832,0.379206657
28,0.184138834,5.27306968,0.182288706,0.361037552,0.380997896
29,0.185029864,5.461393597,0.185934186,0.364457071,0.383229136
30,0.187456191,5.649717514,0.18633765,0.372938275,0.38521415
31,0.188426197,5.838041431,0.187354207,0.377375543,0.385758996
32,0.188835979,6.026365348,0.190762699,0.381755888,0.389610589
33,0.189991236,6.214689266,0.194283426,0.381999969,0.391550541
34,0.191880763,6.403013183,0.195249677,0.396580935,0.394664884
35,0.19234699,6.5913371,0.195804119,0.400436401,0.394904792
36,0.196469069,6.779661017,0.196263373,0.400462925,0.396605551
37,0.196856618,6.967984934,0.196788311,0.402906775,0.398060501
38,0.196883202,7.156308851,0.197395027,0.406906247,0.399242997
39,0.202998757,7.344632768,0.20151031,0.407250643,0.411834419
40,0.207992792,7.532956685,0.203391135,0.414321125,0.414577901
41,0.20993191,7.721280603,0.203398585,0.414868712,0.418297589
42,0.215335071,7.90960452,0.206537485,0.420814037,0.418449342
43,0.217690051,8.097928437,0.210616231,0.423303187,0.424270988
44,0.218931615,8.286252354,0.219267368,0.423817098,0.429832995
45,0.229353249,8.474576271,0.224941194,0.423821151,0.431918263
46,0.231495082,8.662900188,0.226207912,0.426255882,0.433043659
47,0.231547594,8.851224105,0.229683042,0.426326931,0.447982609
48,0.233019829,9.039548023,0.230393887,0.42799598,0.450082302
49,0.234497428,9.22787194,0.230883539,0.428731978,0.453907192
50,0.235025227,9.416195857,0.231492996,0.442932367,0.454567432
51,0.237552702,9.604519774,0.23197329,0.444336355,0.460021555
52,0.238685191,9.792843691,0.232684255,0.446798921,0.461952507
53,0.241141975,9.981167608,0.23908025,0.449344873,0.461987913
54,0.242570698,10.16949153,0.239456892,0.45002991,0.472273409
55,0.242720544,10.35781544,0.244350731,0.460706055,0.473450959
56,0.2443102,10.54613936,0.244871378,0.462987125,0.479430974
57,0.245884895,10.73446328,0.245051503,0.46320492,0.479815602
58,0.247347474,10.92278719,0.248982668,0.46789366,0.480743885
59,0.25282979,11.11111111,0.254057348,0.46865803,0.485285044
60,0.256148994,11.29943503,0.257999301,0.470094502,0.486993313
61,0.258291543,11.48775895,0.260275066,0.471773148,0.48741442
62,0.26029104,11.67608286,0.260533869,0.474443793,0.489817083
63,0.263587654,11.86440678,0.261247158,0.476649225,0.494362056
64,0.26521188,12.0527307,0.264036119,0.479845524,0.494818807
65,0.265412688,12.24105461,0.26925385,0.483053327,0.495132804
66,0.265764236,12.42937853,0.270723403,0.48366189,0.495874107
67,0.266367018,12.61770245,0.271750391,0.485310078,0.496509731
