531,No Reset,No Reset,Reset,Transformer Encoder,LSTM
1,-0.028841138,0.188323917,-0.022384167,-6.627441883,-0.802995324
2,-0.003072023,0.376647834,-0.006814599,-2.373020172,-0.57957685
3,0.011567235,0.564971751,0.038697958,-2.007423878,-0.154854894
4,0.021497786,0.753295669,0.043104351,-1.841878414,0.019060731
5,0.042333066,0.941619586,0.045584857,-0.190087318,0.057780802
6,0.043524384,1.129943503,0.069689333,-0.064853549,0.128388524
7,0.050417662,1.31826742,0.074850678,-0.012937188,0.154191136
8,0.055683911,1.506591337,0.076820195,0.016253471,0.156275451
9,0.061582446,1.694915254,0.09885633,0.084487975,0.170907319
10,0.065453053,1.883239171,0.103846908,0.085624099,0.197687924
11,0.077758491,2.071563089,0.106679022,0.092090666,0.269375563
12,0.08574003,2.259887006,0.107317507,0.107721448,0.277398109
13,0.10623163,2.448210923,0.112443447,0.114370406,0.279785752
14,0.108165622,2.63653484,0.120814025,0.125008404,0.284745693
15,0.109333098,2.824858757,0.125682354,0.137724578,0.288068295
16,0.113396764,3.013182674,0.130238295,0.172211647,0.296523035
17,0.121578813,3.201506591,0.138955176,0.174810231,0.304473579
18,0.125328183,3.389830508,0.139235139,0.182863414,0.308045983
19,0.126756251,3.578154426,0.142974854,0.183152139,0.312755704
20,0.135625839,3.766478343,0.144581139,0.203753591,0.313134849
21,0.138711333,3.95480226,0.145469606,0.222763598,0.318350315
22,0.14438349,4.143126177,0.150322378,0.243075967,0.321311116
23,0.144433856,4.331450094,0.150768816,0.254614592,0.324068666
24,0.153188109,4.519774011,0.152427197,0.264203668,0.32448411
25,0.155104339,4.708097928,0.157842159,0.265942872,0.333792567
26,0.158230603,4.896421846,0.159518003,0.296985984,0.339927256
27,0.161367059,5.084745763,0.159710944,0.299343228,0.341162145
28,0.166275978,5.27306968,0.159750879,0.302362084,0.357439816
29,0.166781068,5.461393597,0.160965323,0.303916693,0.367369711
30,0.167810917,5.649717514,0.163891912,0.305585265,0.368664205
31,0.169442117,5.838041431,0.164835453,0.312951386,0.382354736
32,0.172915399,6.026365348,0.167397201,0.313534796,0.382895052
33,0.175418854,6.214689266,0.168854892,0.325602889,0.394383788
34,0.176041901,6.403013183,0.170017898,0.34128058,0.410271168
35,0.177730262,6.5913371,0.172426105,0.343186319,0.417387545
36,0.182577729,6.779661017,0.174464107,0.345719159,0.41844207
37,0.185815811,6.967984934,0.179178417,0.347145677,0.420394123
38,0.188851416,7.156308851,0.180955172,0.370688736,0.420985162
39,0.19449991,7.344632768,0.182040155,0.372722924,0.421292543
40,0.209391534,7.532956685,0.183476567,0.373173714,0.426659107
41,0.210384429,7.721280603,0.183950722,0.383627236,0.432750702
42,0.214892924,7.90960452,0.184754372,0.386741579,0.435035408
43,0.217126012,8.097928437,0.184796631,0.395445406,0.435171962
44,0.22208029,8.286252354,0.194044769,0.399042249,0.435705721
45,0.222893178,8.474576271,0.195202351,0.400291502,0.435795844
46,0.229492664,8.662900188,0.209579825,0.403373897,0.436086833
47,0.231572509,8.851224105,0.215138197,0.405901432,0.436349392
48,0.235998213,9.039548023,0.216684341,0.407442689,0.439011693
49,0.237005889,9.22787194,0.218808174,0.407954454,0.441493034
50,0.23877126,9.416195857,0.220779598,0.416315973,0.442816913
51,0.240537047,9.604519774,0.22400099,0.416833758,0.446326554
52,0.241440654,9.792843691,0.226112664,0.425602317,0.447641373
53,0.241469502,9.981167608,0.227922678,0.432631135,0.447883606
54,0.244395673,10.16949153,0.229746997,0.432891846,0.450620592
55,0.246057093,10.35781544,0.230847716,0.435113668,0.451948524
56,0.246361673,10.54613936,0.231633842,0.436612666,0.452391028
57,0.247354686,10.73446328,0.23182863,0.437593102,0.456625521
58,0.247939229,10.92278719,0.234224379,0.438918054,0.458269656
59,0.24846679,11.11111111,0.235231042,0.439294219,0.461294591
60,0.249932647,11.29943503,0.238950372,0.439465046,0.46217382
61,0.250228047,11.48775895,0.24447751,0.44342041,0.463920176
62,0.25415343,11.67608286,0.248178899,0.444103837,0.467952788
63,0.256127656,11.86440678,0.251210034,0.450698256,0.470886588
64,0.256843805,12.0527307,0.255729914,0.45500952,0.472554147
65,0.257027566,12.24105461,0.258739829,0.459902942,0.476634026
66,0.258328676,12.42937853,0.259980798,0.462668955,0.489054918
67,0.259203196,12.61770245,0.260572374,0.46766603,0.493485391
68,0.259348571,12.80602637,0.261165679,0.469974041,0.494450927
69,0.263482988,12.99435028,0.261987329,0.471953273,0.497805595
70,0.263689816,13.1826742,0.263029873,0.479104757,0.499795258
71,0.266101062,13.37099812,0.264641166,0.480775535,0.500039488
72,0.267513931,13.55932203,0.265795708,0.482284009,0.503035098
73,0.268920958,13.74764595,0.266142786,0.483454287,0.503665626
74,0.272974074,13.93596987,0.267274201,0.486312926,0.508143008
75,0.277138412,14.12429379,0.267346203,0.488898337,0.519217521
76,0.278653502,14.3126177,0.268903077,0.489966094,0.521736562
77,0.280738652,14.50094162,0.269413054,0.490070939,0.52292046
78,0.280868649,14.68926554,0.276365697,0.491514742,0.523634106
79,0.28114146,14.87758945,0.276902258,0.491923034,0.524368823
80,0.281778812,15.06591337,0.277354896,0.497463822,0.5290443
81,0.283477128,15.25423729,0.277868509,0.497555971,0.530757636
82,0.283758342,15.44256121,0.27933383,0.50049606,0.532184869
83,0.285362661,15.63088512,0.279400647,0.505252004,0.53530103
84,0.286474347,15.81920904,0.282386303,0.505791992,0.537002742
85,0.286709905,16.00753296,0.282470047,0.509670377,0.537374109
86,0.287446499,16.19585687,0.283204615,0.510388136,0.539458573
87,0.289879918,16.38418079,0.283712864,0.51310578,0.54159978
88,0.290330887,16.57250471,0.286351204,0.514797509,0.54322955
89,0.291457951,16.76082863,0.287227452,0.516429633,0.54323411
90,0.294793904,16.94915254,0.287458658,0.520456433,0.543672025
91,0.296764195,17.13747646,0.287827551,0.530127466,0.544323742
92,0.296806395,17.32580038,0.288321018,0.533926338,0.544756353
93,0.297375619,17.51412429,0.288775742,0.534354538,0.5485695
94,0.298929274,17.70244821,0.290775657,0.534968406,0.548812091
95,0.300212264,17.89077213,0.290818274,0.535878867,0.550265223
96,0.302269876,18.07909605,0.291325152,0.536334604,0.551883757
97,0.303257465,18.26741996,0.293591678,0.539509535,0.55292809
98,0.307921231,18.45574388,0.295811415,0.541077793,0.554255903
99,0.309056401,18.6440678,0.296198606,0.541106701,0.557241499
100,0.312313497,18.83239171,0.296359897,0.544452488,0.557870597
101,0.313292503,19.02071563,0.297624528,0.546593606,0.558499902
102,0.315743744,19.20903955,0.298781633,0.550202072,0.563007683
103,0.316444993,19.39736347,0.298930824,0.552256763,0.563924253
104,0.317725837,19.58568738,0.299557567,0.552694112,0.563971549
105,0.320707142,19.7740113,0.301029384,0.552713245,0.564111441
106,0.322401881,19.96233522,0.304280519,0.554481924,0.565739065
107,0.326483309,20.15065913,0.305141211,0.554556668,0.567491502
108,0.331550777,20.33898305,0.305346251,0.554596841,0.568489552
109,0.331906199,20.52730697,0.306321025,0.55903092,0.568863004
110,0.333178818,20.71563089,0.309072673,0.559306681,0.569770485
111,0.333445549,20.9039548,0.316017628,0.55932647,0.57127279
112,0.337577879,21.09227872,0.316061258,0.562826633,0.573613793
113,0.338658869,21.28060264,0.316866338,0.564852595,0.574320287
114,0.344080925,21.46892655,0.317150176,0.56818378,0.576336235
115,0.344602287,21.65725047,0.320257187,0.571162134,0.577260345
116,0.350850165,21.84557439,0.320439339,0.571702123,0.577704042
117,0.354132771,22.03389831,0.321963251,0.572059959,0.578525722
118,0.354515791,22.22222222,0.322496593,0.572645485,0.579977632
119,0.355499148,22.41054614,0.324807286,0.57273376,0.580699623
120,0.356676042,22.59887006,0.325418174,0.574386626,0.582740307
121,0.356917858,22.78719397,0.329984963,0.575009465,0.583269477
122,0.358377993,22.97551789,0.331746519,0.576699674,0.584183902
123,0.359269023,23.16384181,0.33264327,0.577262759,0.58728537
124,0.35961628,23.35216573,0.333627462,0.577462316,0.588019788
125,0.360549748,23.54048964,0.338984847,0.579160064,0.588584274
126,0.360725284,23.72881356,0.341527283,0.581306159,0.592009693
127,0.361912072,23.91713748,0.341733336,0.581376851,0.59983936
128,0.364398718,24.10546139,0.342858851,0.58188507,0.601689816
129,0.36554563,24.29378531,0.345907509,0.586978734,0.601707488
130,0.365633965,24.48210923,0.346564174,0.5873923,0.602516174
131,0.365765274,24.67043315,0.347758472,0.588073939,0.602983207
132,0.366308391,24.85875706,0.349392891,0.592210919,0.604895681
133,0.3665573,25.04708098,0.352269292,0.592894495,0.605603576
134,0.36753577,25.2354049,0.354578972,0.592916816,0.60948059
