531,Full Transformer,LSTM,Transformer Encoder,Full Transformer
1,-0.272344828,-10.7997427,-7.621491432,0.188323917
2,-0.035794854,-0.591603994,-1.046490192,0.376647834
3,0.034858227,0.036517382,-1.034812689,0.564971751
4,0.036368847,0.092304349,-1.000677824,0.753295669
5,0.050055027,0.097626805,-0.353350282,0.941619586
6,0.061557949,0.11353296,-0.169135094,1.129943503
7,0.088973522,0.129924715,-0.136514187,1.31826742
8,0.094831944,0.135716319,-0.123235941,1.506591337
9,0.100693583,0.147563815,-0.092357159,1.694915254
10,0.106903374,0.149890423,-0.043043137,1.883239171
11,0.114200711,0.17815119,-0.03941381,2.071563089
12,0.119741797,0.204126239,0.075654984,2.259887006
13,0.128745735,0.217251122,0.083704233,2.448210923
14,0.131837487,0.239825368,0.090894759,2.63653484
15,0.139050782,0.240267396,0.119110286,2.824858757
16,0.143742204,0.272127926,0.121135414,3.013182674
17,0.146265388,0.276210487,0.128570318,3.201506591
18,0.148891509,0.279494643,0.13259846,3.389830508
19,0.150158823,0.285022259,0.145316422,3.578154426
20,0.157904744,0.288660944,0.151804328,3.766478343
21,0.158861458,0.292965949,0.215751112,3.95480226
22,0.160201311,0.298472047,0.227476656,4.143126177
23,0.162216008,0.301044762,0.252498865,4.331450094
24,0.163624346,0.304808319,0.264161766,4.519774011
25,0.17179817,0.316998005,0.271537423,4.708097928
26,0.17217046,0.31950897,0.278355658,4.896421846
27,0.17649287,0.329833806,0.289140582,5.084745763
28,0.176854074,0.330730379,0.291627288,5.27306968
29,0.18187958,0.345195889,0.297797561,5.461393597
30,0.183062077,0.352817357,0.309963167,5.649717514
31,0.190344036,0.353253841,0.313287616,5.838041431
32,0.191009283,0.355328143,0.337461412,6.026365348
33,0.193397045,0.370213151,0.343419075,6.214689266
34,0.195407033,0.400769889,0.353988588,6.403013183
35,0.195632398,0.400844216,0.357180417,6.5913371
36,0.196966648,0.401533425,0.368260741,6.779661017
37,0.197179377,0.402648628,0.369170368,6.967984934
38,0.202961683,0.403872013,0.373935938,7.156308851
39,0.203729391,0.404819667,0.376315594,7.344632768
40,0.206730545,0.405014515,0.379589081,7.532956685
41,0.208966553,0.406154811,0.384006917,7.721280603
42,0.218641162,0.407481492,0.385758638,7.90960452
43,0.221613944,0.413359225,0.387329578,8.097928437
44,0.222304046,0.415409923,0.392540932,8.286252354
45,0.22568351,0.415825427,0.406035364,8.474576271
46,0.227909029,0.424390435,0.406953394,8.662900188
47,0.227955818,0.425169528,0.411691964,8.851224105
48,0.228043616,0.426578343,0.419568837,9.039548023
49,0.230562091,0.439003646,0.421494126,9.22787194
50,0.230589926,0.44006598,0.422720194,9.416195857
51,0.236720085,0.448412061,0.423637986,9.604519774
52,0.237687826,0.453042448,0.428679109,9.792843691
53,0.240167797,0.455108464,0.435217857,9.981167608
54,0.242290199,0.457679629,0.437940836,10.16949153
55,0.243526518,0.461655915,0.438815057,10.35781544
56,0.245209932,0.466578245,0.439384878,10.54613936
57,0.245228589,0.471003592,0.440324306,10.73446328
58,0.249007225,0.471960545,0.447918117,10.92278719
59,0.253326118,0.474667072,0.452131391,11.11111111
60,0.257097483,0.481308341,0.453558922,11.29943503
61,0.258232892,0.481521726,0.454088449,11.48775895
62,0.258480251,0.48298949,0.456455648,11.67608286
63,0.259913623,0.485799253,0.461672485,11.86440678
64,0.261266291,0.486857533,0.462556064,12.0527307
65,0.261654794,0.48781234,0.469441235,12.24105461
66,0.262223125,0.496842682,0.4719069,12.42937853
67,0.263322175,0.497622669,0.476365447,12.61770245
68,0.264523089,0.499161124,0.477257609,12.80602637
69,0.267021894,0.500868529,0.479876757,12.99435028
70,0.26703769,0.501445115,0.481037557,13.1826742
71,0.268801153,0.502450764,0.482659519,13.37099812
72,0.269205093,0.504256397,0.484465539,13.55932203
73,0.270036221,0.505158633,0.487212539,13.74764595
74,0.270971656,0.506837547,0.490670502,13.93596987
75,0.271559954,0.50748682,0.491499722,14.12429379
76,0.272157967,0.507775128,0.494153917,14.3126177
77,0.272722781,0.515647352,0.496494412,14.50094162
78,0.273654997,0.52725631,0.496545851,14.68926554
79,0.27466923,0.528409868,0.502533585,14.87758945
80,0.275103807,0.53056106,0.504485577,15.06591337
81,0.275928497,0.530678153,0.504897207,15.25423729
82,0.276601851,0.53248167,0.505785942,15.44256121
83,0.277731776,0.533305019,0.507428408,15.63088512
84,0.278022945,0.534860522,0.507947266,15.81920904
85,0.27826035,0.535659254,0.508541316,16.00753296
86,0.279028535,0.536913037,0.510363638,16.19585687
87,0.279220283,0.537662506,0.515644878,16.38418079
88,0.279288054,0.541359246,0.519911498,16.57250471
89,0.281393528,0.545046419,0.520956844,16.76082863
90,0.282006681,0.545181602,0.527234197,16.94915254
91,0.283103466,0.5452618,0.528028101,17.13747646
92,0.283815145,0.546848476,0.528244615,17.32580038
93,0.286434412,0.547711641,0.529019415,17.51412429
94,0.288571894,0.547821134,0.52934891,17.70244821
95,0.289099336,0.549203128,0.529610753,17.89077213
96,0.290782988,0.554387987,0.531116068,18.07909605
97,0.292658925,0.557347655,0.531232834,18.26741996
98,0.292993605,0.559806436,0.531258166,18.45574388
99,0.293092549,0.560873151,0.531371057,18.6440678
100,0.29389751,0.560994089,0.531817645,18.83239171
101,0.299829066,0.561115712,0.53330332,19.02071563
102,0.300998628,0.562651098,0.533737272,19.20903955
103,0.302758217,0.563498199,0.535212517,19.39736347
104,0.303450227,0.56710127,0.5361031,19.58568738
105,0.308476686,0.568534642,0.539016247,19.7740113
106,0.309303641,0.568858564,0.539033443,19.96233522
107,0.309736907,0.568915546,0.53914994,20.15065913
108,0.312000394,0.571290731,0.539230764,20.33898305
109,0.31278795,0.574790806,0.53949219,20.52730697
110,0.313729942,0.576522201,0.539803952,20.71563089
111,0.313750029,0.577028126,0.542310268,20.9039548
112,0.31661123,0.577190161,0.542859912,21.09227872
113,0.317978323,0.578728259,0.54286921,21.28060264
114,0.318650007,0.580177397,0.542945743,21.46892655
115,0.323026538,0.580534697,0.548632681,21.65725047
116,0.324167788,0.581422597,0.549146771,21.84557439
117,0.327149689,0.582239062,0.553744882,22.03389831
118,0.327624023,0.582690716,0.554192662,22.22222222
119,0.329168737,0.585340887,0.554669201,22.41054614
120,0.330916345,0.586607665,0.556253135,22.59887006
121,0.335045993,0.588572115,0.558386356,22.78719397
122,0.336960495,0.591503233,0.55994606,22.97551789
123,0.337840915,0.593485117,0.561161608,23.16384181
124,0.338116348,0.593539983,0.564331979,23.35216573
125,0.343244195,0.593872875,0.5649333,23.54048964
126,0.343750477,0.594727904,0.571235955,23.72881356
127,0.346518815,0.59481582,0.571665049,23.91713748
128,0.348799944,0.596449614,0.575377524,24.10546139
129,0.351866961,0.596802145,0.576594085,24.29378531
130,0.35215807,0.598265767,0.580195963,24.48210923
131,0.352359712,0.59855634,0.582254916,24.67043315
132,0.352654755,0.599884719,0.582549363,24.85875706
133,0.352950633,0.601574183,0.583636701,25.04708098
134,0.353217661,0.603179693,0.584362179,25.2354049
135,0.354898453,0.603778452,0.585082442,25.42372881
136,0.360088229,0.603952914,0.585640192,25.61205273
137,0.361144722,0.603982091,0.585647523,25.80037665
138,0.36639899,0.606394559,0.5862014,25.98870056
139,0.370156884,0.606972367,0.58704412,26.17702448
140,0.371697485,0.607337713,0.587646127,26.3653484
141,0.372073829,0.610246152,0.589874953,26.55367232
142,0.373216987,0.611854464,0.590861261,26.74199623
143,0.37328881,0.61396417,0.590965778,26.93032015
144,0.374994457,0.614020824,0.592039019,27.11864407
145,0.375999212,0.614290684,0.592225969,27.30696798
146,0.377397656,0.615522802,0.59223035,27.4952919
147,0.378967226,0.616115093,0.594263524,27.68361582
148,0.385804176,0.616873235,0.595362306,27.87193974
149,0.385989308,0.617031515,0.595532596,28.06026365
150,0.387439787,0.617193818,0.596067935,28.24858757
151,0.387762308,0.618182421,0.59627074,28.43691149
152,0.387880027,0.618211269,0.597871304,28.6252354
