531,100seq-75,LSTM,Transformer Encoder,Full Transformer
1,-0.03931427,-0.477597594,-0.305511117,0.188323917
2,0.01928091,-0.171353102,-0.041947961,0.376647834
3,0.035304844,-0.116829634,0.007583261,0.564971751
4,0.065108597,0.026492894,0.065658867,0.753295669
5,0.071530104,0.061003685,0.089814603,0.941619586
6,0.071579993,0.066075921,0.10521394,1.129943503
7,0.073003531,0.07607311,0.122796893,1.31826742
8,0.091855049,0.089227498,0.124812901,1.506591337
9,0.121394217,0.096440852,0.134765744,1.694915254
10,0.122751832,0.11454457,0.134914279,1.883239171
11,0.124395251,0.117875397,0.136149168,2.071563089
12,0.125138938,0.12977469,0.16669488,2.259887006
13,0.130163848,0.163674474,0.172454119,2.448210923
14,0.13308239,0.22395575,0.174379408,2.63653484
15,0.139065683,0.234325886,0.191034377,2.824858757
16,0.144959986,0.235709548,0.196745753,3.013182674
17,0.146585345,0.237337708,0.21272403,3.201506591
18,0.150124073,0.241512835,0.216962576,3.389830508
19,0.152431726,0.272349477,0.217745721,3.578154426
20,0.153750777,0.313297033,0.218927324,3.766478343
21,0.156806767,0.313444197,0.228383183,3.95480226
22,0.161601484,0.315163314,0.231415629,4.143126177
23,0.162648022,0.319932342,0.249697089,4.331450094
24,0.163246036,0.324966073,0.262071848,4.519774011
25,0.164370477,0.327976644,0.274955034,4.708097928
26,0.166053474,0.331582367,0.276889443,4.896421846
27,0.170618534,0.336194277,0.28140986,5.084745763
28,0.174836397,0.336424649,0.282667875,5.27306968
29,0.176264286,0.342691302,0.298048258,5.461393597
30,0.177244961,0.348871231,0.330709636,5.649717514
31,0.179534435,0.354600012,0.342890203,5.838041431
32,0.18031621,0.366995156,0.364072859,6.026365348
33,0.180574536,0.37407732,0.367482841,6.214689266
34,0.186504364,0.38063103,0.376039922,6.403013183
35,0.186661899,0.381422341,0.376993656,6.5913371
36,0.187416375,0.384755373,0.378099144,6.779661017
37,0.193324864,0.385072351,0.38311851,6.967984934
38,0.198464215,0.389450014,0.389515758,7.156308851
39,0.199235737,0.389463484,0.390347719,7.344632768
40,0.202005208,0.392725527,0.392817855,7.532956685
41,0.205844939,0.397240996,0.396395981,7.721280603
42,0.212114513,0.398760676,0.397633851,7.90960452
43,0.215932906,0.401238263,0.399825394,8.097928437
44,0.217083514,0.408337235,0.409171581,8.286252354
45,0.218484402,0.419074774,0.418856204,8.474576271
46,0.218677819,0.420219898,0.42184025,8.662900188
47,0.219481587,0.421722889,0.422657847,8.851224105
48,0.219764411,0.427731156,0.422927856,9.039548023
49,0.221592486,0.42987299,0.43149972,9.22787194
50,0.221733093,0.433614492,0.437951803,9.416195857
51,0.23063761,0.438037753,0.440197766,9.604519774
52,0.230908871,0.441655636,0.440497339,9.792843691
53,0.233777106,0.446860969,0.441622376,9.981167608
54,0.234709144,0.44732362,0.444092989,10.16949153
55,0.23584491,0.448529482,0.446435809,10.35781544
56,0.237383246,0.458544552,0.449603498,10.54613936
57,0.241238892,0.459076047,0.44975698,10.73446328
58,0.248323441,0.462737381,0.451422691,10.92278719
59,0.248668134,0.463738322,0.454714954,11.11111111
60,0.254407406,0.473381877,0.455645382,11.29943503
61,0.254983306,0.474280834,0.456497967,11.48775895
62,0.255406201,0.474569201,0.459373772,11.67608286
63,0.257869363,0.477126122,0.463846087,11.86440678
64,0.263270617,0.482725859,0.464599967,12.0527307
65,0.264422297,0.483707845,0.464975238,12.24105461
66,0.266554177,0.48484242,0.466074109,12.42937853
67,0.27139318,0.485029459,0.467258811,12.61770245
68,0.272133946,0.485851943,0.47660327,12.80602637
69,0.272604465,0.489397466,0.479243696,12.99435028
70,0.27456069,0.489543915,0.480652332,13.1826742
71,0.276719689,0.495976686,0.482654154,13.37099812
72,0.276745975,0.510922223,0.484609902,13.55932203
73,0.276910126,0.511535168,0.485235929,13.74764595
74,0.277906477,0.51155147,0.49035269,13.93596987
75,0.278303623,0.511861026,0.494810462,14.12429379
76,0.280010521,0.511978507,0.498183072,14.3126177
77,0.281048477,0.512912482,0.498872936,14.50094162
78,0.282413721,0.51330173,0.499507546,14.68926554
79,0.282675385,0.514971823,0.502014726,14.87758945
80,0.284173012,0.515176505,0.502476543,15.06591337
81,0.284360468,0.516572386,0.50523299,15.25423729
82,0.284512758,0.516747206,0.507362813,15.44256121
83,0.285047531,0.518047959,0.511186779,15.63088512
84,0.285783529,0.518598795,0.511938453,15.81920904
85,0.286260784,0.519750059,0.512546569,16.00753296
86,0.286279619,0.521580666,0.513822317,16.19585687
87,0.288948894,0.522745073,0.514202118,16.38418079
88,0.289918184,0.523223221,0.522066116,16.57250471
89,0.291356027,0.523362309,0.522370696,16.76082863
90,0.291705132,0.524708837,0.523832232,16.94915254
91,0.291834056,0.525447696,0.524806619,17.13747646
92,0.292093217,0.526777625,0.5261738,17.32580038
93,0.292395055,0.527431071,0.527181983,17.51412429
94,0.29884547,0.533328027,0.528841853,17.70244821
95,0.300023139,0.534847617,0.533923447,17.89077213
96,0.301415026,0.536280692,0.534007281,18.07909605
97,0.302919745,0.537555367,0.534113616,18.26741996
98,0.303451896,0.540341496,0.539936453,18.45574388
99,0.303696096,0.540730894,0.542339921,18.6440678
100,0.304720223,0.541913807,0.542553574,18.83239171
101,0.306254566,0.542477459,0.544849396,19.02071563
102,0.310335279,0.54266727,0.547819465,19.20903955
103,0.310356498,0.551215976,0.548204064,19.39736347
104,0.310975015,0.55328238,0.549577415,19.58568738
105,0.311728001,0.555940419,0.549809843,19.7740113
106,0.314213574,0.558613509,0.550394922,19.96233522
