basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1022500,0.796171919,1.003543735,1.0017703,0.828143677,0.888176143,0.895078992,-0.070333794,0.52173913,0.4
1031500,0.861855268,1.29773283,1.139180771,0.889591545,0.915964484,0.928447334,0.0018353,0.136363636,0.38
1047000,0.79194136,2.220447063,1.49011646,0.792061171,0.848899841,0.893147712,-0.061754242,0.227272727,0.407407407
1052500,0.745296359,3.335674286,1.826382842,0.784191647,0.851212144,0.864835788,-0.049588155,0.090909091,0.423728814
1054200,0.690181851,9.131091118,3.021769534,0.698636591,0.74756521,0.835403154,0.001055412,0.181818182,0.473684211
1055000,0.626137167,6.61743784,2.572438112,0.680082463,0.763408005,0.792381674,-0.029868359,0.318181818,0.473684211
1057000,0.797247604,1.489594579,1.220489483,0.81709458,0.85157299,0.893928721,0.008182947,0.136363636,0.304347826
1073000,0.775045335,1.481018782,1.216971151,0.685801301,0.747215569,0.898400253,-0.09602534,0.1,0.3125
1078000,0.817267075,1.097092748,1.047421953,0.765552324,0.80105716,0.912943526,-0.060664907,0.476190476,0.294117647
1123000,0.779591754,1.085056067,1.041660245,0.843286258,0.936597168,0.887222185,-0.071648732,0.363636364,0.206896552
1134500,0.703923613,2.433647871,1.560015343,0.716853003,0.81380707,0.845775705,-0.101936169,0.391304348,0.4375
1137500,0.705330789,2.996451378,1.731026105,0.777233822,0.846269011,0.839980965,0.01406056,0.304347826,0.428571429
1139000,0.673787922,1.161872506,1.0779019,0.701501558,0.847285807,0.838352158,-0.170195833,0.192307692,0.338709677
1139800,0.614290684,1.406572461,1.185990076,0.585127638,0.69202143,0.81587192,-0.189782545,0.52,0.5
1142500,0.788822383,1.042663455,1.021108934,0.751455272,0.786964536,0.896783973,-0.057782326,0.35,0.428571429
1144000,0.796763599,0.999065697,0.999532739,0.866185634,1.000756741,0.900865427,0.069402069,0.304347826,0.303571429
1162500,0.762089193,1.209801078,1.099909577,0.75389369,0.803943336,0.878637121,-0.065839395,0.25,0.282608696
1169000,0.693753004,2.75545454,1.659956186,0.824683446,1.061824083,0.859151505,0.057551142,0.19047619,0.333333333
1170100,0.714685559,2.306221247,1.518624788,0.829437454,0.940964758,0.851158926,0.041483376,0.444444444,0.413793103
1181000,0.736360401,2.4175179,1.554836937,0.840702345,0.933057129,0.861546235,0.028066512,0.238095238,0.457627119
1187300,0.763853356,3.166445494,1.779450897,0.754613824,0.79159683,0.878704388,-0.026082968,0.285714286,0.306451613
1195100,0.618182421,2.273804188,1.507913853,0.667568508,0.779190481,0.79155864,-0.090717532,0.291666667,0.396551724
1333000,0.780654907,1.033215642,1.016472155,0.861327837,0.928709149,0.884985827,-0.025165148,0.130434783,0.377358491
1350000,0.729323804,3.858952999,1.964421798,0.793976343,0.859297752,0.854232909,0.019089904,0.045454545,0.277777778
1350080,0.65098235,2.46043992,1.568578949,0.665090425,0.754091084,0.811963096,-0.07037463,0.368421053,0.458333333
1350140,0.580177397,3.017894745,1.737208895,0.674713262,0.779077828,0.761947235,-0.009628111,0.238095238,0.470588235
1365000,0.797678128,2.323867321,1.524423603,0.890335401,0.974236131,0.896699069,-0.019470399,0.043478261,0.215686275
1411300,0.577190161,0.720111847,0.848594041,0.476834023,0.564277768,0.847936033,-0.24767597,0.45,0.396226415
1413500,0.785828874,1.81731987,1.348080068,0.760406104,0.826372862,0.892573669,-0.080475554,0,0.270833333
1414500,0.766477391,2.30986762,1.519824865,0.756807335,0.799866915,0.880361461,-0.045602031,0.173913043,0.304347826
1415000,0.753012002,1.475824475,1.214835164,0.724517786,0.797059238,0.87650212,-0.094513215,0.2,0.44
1423000,0.795532197,1.276002169,1.12960266,0.82764509,0.888636768,0.893423071,-0.051475141,0.19047619,0.333333333
