basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1022500,0.809300259,0.93890667,0.968971965,0.879555307,0.943985581,0.901368212,-0.036717497,0.434782609,0.355555556
1031500,0.853274733,1.378338575,1.17402665,0.886390171,0.91618228,0.923775706,-0.00539999,0.272727273,0.4
1047000,0.807891667,2.05022192,1.431859602,0.814624465,0.895382822,0.902112463,-0.07661543,0.181818182,0.333333333
1052500,0.775466919,2.940551519,1.714803639,0.842930363,0.899447799,0.880885818,-0.01217892,0.045454545,0.474576271
1054200,0.697329283,8.920438766,2.986710359,0.707588137,0.7621876,0.839044993,0.027571017,0.318181818,0.596491228
1055000,0.66029343,6.01286602,2.452114602,0.719977092,0.792142093,0.812881737,-0.007292094,0.363636364,0.438596491
1057000,0.783564001,1.590126276,1.261002092,0.80590005,0.842763782,0.886263041,0.002448784,0.227272727,0.434782609
1073000,0.77764824,1.463882327,1.209910049,0.703115437,0.734284341,0.89852536,-0.052196652,0.15,0.25
1078000,0.791992307,1.248837471,1.117513969,0.759820524,0.813912928,0.897100558,-0.076661006,0.333333333,0.294117647
1123000,0.767580852,1.144184947,1.069665811,0.841802854,0.912498176,0.877710866,-0.039816547,0.181818182,0.224137931
1134500,0.715791702,2.336096048,1.528429275,0.747849536,0.818264723,0.848761165,-0.060611766,0.304347826,0.359375
1137500,0.714774281,2.900421619,1.703062424,0.821671334,0.99947387,0.860476909,0.079536617,0.391304348,0.412698413
1139000,0.709664315,1.034091234,1.016902765,0.750109188,0.847095191,0.849508316,-0.10951823,0.153846154,0.419354839
1139800,0.667287886,1.213306665,1.101502004,0.739238654,0.860228956,0.826898576,-0.123945244,0.56,0.428571429
1142500,0.783469319,1.069093585,1.033969818,0.773762557,0.80673188,0.889535541,-0.030785214,0.4,0.446428571
1144000,0.808113754,0.943270862,0.971221325,0.894372934,0.968047917,0.901554364,-0.01628181,0.434782609,0.357142857
1162500,0.767323703,1.183183074,1.087742191,0.754205621,0.793154478,0.881629601,-0.046034735,0.25,0.260869565
1169000,0.663209796,3.030266762,1.740766142,0.806068039,1.013750076,0.836445876,0.070676245,0.19047619,0.49122807
1170100,0.67996797,2.58684659,1.608367679,0.805783337,0.928940535,0.831619973,0.046395268,0.333333333,0.448275862
1181000,0.730169415,2.474287987,1.572986963,0.834810994,0.919972956,0.856932269,0.013761625,0.380952381,0.338983051
1187300,0.764055833,3.163730621,1.778687893,0.791137719,0.833688796,0.875156972,0.011150083,0.428571429,0.225806452
1195100,0.628542215,2.212109327,1.487316149,0.721375103,0.813734531,0.793112849,0.00778219,0.291666667,0.413793103
1333000,0.762227401,1.120017648,1.058308862,0.816708321,0.874756753,0.873843315,0.037066199,0.217391304,0.396226415
1350000,0.710723817,4.124127865,2.030794885,0.767180227,0.829516411,0.843243708,-0.012155425,0.272727273,0.388888889
1350080,0.653869987,2.440083027,1.562076511,0.631157633,0.699205279,0.820041431,-0.063218601,0.421052632,0.3125
1350140,0.557241499,3.182769537,1.784031821,0.639249845,0.743419945,0.74650089,-0.003546439,0.428571429,0.450980392
1365000,0.786343664,2.454055071,1.566542394,0.822405658,0.870599926,0.887590135,-0.034407672,0.173913043,0.254901961
1411300,0.673940003,0.555331528,0.745205695,0.583078141,0.676103234,0.876550075,-0.232854351,0.4,0.377358491
1413500,0.758247346,2.051359177,1.432256673,0.775903502,0.830629468,0.873089984,-0.047285452,0.19047619,0.270833333
1414500,0.706864864,2.899519444,1.702797535,0.735977482,0.798814416,0.843112169,-0.044843428,0.173913043,0.369565217
1415000,0.760932833,1.428495169,1.195196707,0.724330521,0.757412076,0.882007043,-0.038466457,0.25,0.4
1423000,0.798726559,1.256067395,1.120744126,0.776018606,0.813940942,0.89909376,-0.048908401,0.095238095,0.354166667
1434025,0.737947226,4.821171284,2.195716576,0.786574991,0.844920874,0.859583148,-0.02685098,0.333333333,0.409836066
1435000,0.760753348,4.523498535,2.12685179,0.696226441,0.738915265,0.887424728,-0.068660364,0.24,0.301886792
1439500,0.815465569,0.903667271,0.950614155,0.865889059,0.907346904,0.903041684,-0.000411942,0.47826087,0.36
1440000,0.719596118,1.335922122,1.155820973,0.805359907,0.908218026,0.853159748,-0.072484463,0.5,0.333333333
1440400,0.701901227,2.064244986,1.436748059,0.819440193,0.918633997,0.841624951,0.022381639,0.285714286,0.395833333
1451800,0.714642912,2.091538906,1.446215373,0.632400526,0.69750315,0.868159062,-0.099668451,0.347826087,0.438596491
1466500,0.657729775,0.076889984,0.277290433,0.805760157,0.930588663,0.818808952,-0.014953431,0.65,0.446808511
1484100,0.580699623,0.861922085,0.92839759,0.582685412,0.650786996,0.771552016,-0.00295233,0.368421053,0.5
1487000,0.766660988,0.32035023,0.565994903,0.827699116,0.923889518,0.882558505,0.102665819,0.611111111,0.404761905
1491000,0.728203386,1.195133209,1.093221482,0.76494824,0.816181362,0.854236927,0.008314017,0.111111111,0.411764706
1510000,0.757490948,1.615889549,1.271176443,0.864037934,0.979472518,0.877133401,0.037400153,0.263157895,0.444444444
1516500,0.524368823,3.601861715,1.897857138,0.539921544,0.626310229,0.731782994,-0.003605728,0.6,0.396226415
1518862,0.574320287,2.571284294,1.603522464,0.551008458,0.6247648,0.773885146,-0.048384856,0.352941176,0.408163265
1532000,0.499795258,5.613663197,2.369317032,0.456840285,0.537537515,0.735329964,-0.042344019,0.222222222,0.403846154
1539000,0.765669867,1.49801302,1.223933421,0.800842342,0.860260367,0.87641532,-0.046615042,0.238095238,0.367346939
1542810,0.685841471,2.799841166,1.673272592,0.724223398,0.798025012,0.829896275,0.043250747,0.263157895,0.452830189
1543000,0.751822725,1.587813616,1.260084765,0.783677602,0.833929479,0.868201764,0.027873799,0.19047619,0.403846154
1543500,0.773337588,1.207369804,1.098803806,0.751366137,0.780788183,0.885860451,-0.019258996,0.2,0.306122449
1544500,0.773993596,1.690238357,1.300091672,0.721830794,0.75653547,0.891396467,-0.049056839,0.333333333,0.387755102
1545600,0.71722281,1.64706409,1.283379948,0.689149289,0.744126022,0.857148952,-0.068609945,0.263157895,0.365853659
1547700,0.740303069,1.588826656,1.260486674,0.743844492,0.782767534,0.864259227,-0.000209168,0.3,0.551020408
1548500,0.767485023,1.151987791,1.073306942,0.713847766,0.78104949,0.887662991,-0.095363006,0.526315789,0.304347826
1549500,0.647051752,3.115161657,1.764982056,0.521148821,0.58575207,0.854127025,-0.102255166,0.571428571,0.416666667
1550000,0.641729265,3.461555481,1.860525593,0.567767443,0.64126122,0.82805389,-0.095144361,0.5,0.431372549
1552000,0.69256863,2.423150063,1.556647058,0.635103415,0.713300228,0.849696671,-0.10397967,0.363636364,0.375
1552500,0.576336235,4.847770691,2.201765358,0.610865453,0.705982208,0.763144457,-0.052780379,0.434782609,0.375
1557500,0.743956625,1.406650066,1.186022793,0.789323872,0.874040425,0.865544787,-0.071686603,0.2,0.54
1567500,0.54322955,3.170381069,1.780556393,0.63513881,0.759398997,0.738621259,-0.043589968,0.3,0.388888889
1568000,0.717985779,1.91478312,1.383756886,0.781690034,0.85736531,0.848215453,-0.037415814,0.19047619,0.392156863
1580000,0.633598775,0.904911458,0.951268342,0.628803358,0.695885241,0.807718312,-0.079394102,0.173913043,0.451612903
1583500,0.557870597,0.793306887,0.890677768,0.58456195,0.690870106,0.760481775,-0.124964327,0.090909091,0.467741935
1586610,0.623561323,1.213053465,1.101387064,0.630156617,0.713727951,0.798776058,-0.085139289,0.2,0.459016393
1591400,0.568863004,1.68769598,1.299113536,0.651689578,0.753433824,0.754259153,-0.006572396,0.3,0.5
1594950,0.678649455,2.669991493,1.634010861,0.779806573,0.934870839,0.834004174,0.082094029,0.263157895,0.326530612
1596500,0.730930924,1.867892742,1.366708726,0.814609764,0.888843238,0.855828541,-0.02053296,0.263157895,0.288888889
1605500,0.714820385,1.108323693,1.052769535,0.787758612,0.859631896,0.845842195,0.020940389,0.19047619,0.304347826
1606500,0.709640473,1.462826729,1.20947374,0.75500061,0.816281736,0.843152203,-0.023304692,0.333333333,0.31372549
1632000,0.452391028,5.218186855,2.284335101,0.568874292,0.723550618,0.674679262,0.020315304,0.434782609,0.431034483
1632900,0.308045983,2.461880445,1.569038064,0.667580721,1.059991241,0.675484237,0.019681217,0.444444444,0.433962264
1634500,0.5290443,3.048913717,1.74611389,0.561600819,0.683967769,0.731498814,-0.061538756,0.444444444,0.396226415
1638480,0.54159978,2.460798979,1.568693399,0.481934738,0.563019872,0.766559526,-0.067714885,0.315789474,0.37254902
1639500,0.685808897,1.260021687,1.122506876,0.749558044,0.826136053,0.828880107,-0.035010893,0.230769231,0.575757576
1644000,0.679664344,1.230351925,1.109212299,0.638402805,0.701505721,0.838439698,-0.067571335,0.090909091,0.339622642
1664000,0.714356363,1.289577246,1.135595547,0.771083724,0.863702714,0.847546228,-0.060968962,0.142857143,0.203389831
1666500,0.677734643,2.752843618,1.659169557,0.680867374,0.746160388,0.828508067,-0.043701466,0.428571429,0.423728814
1667500,0.807038829,1.439585447,1.199827257,0.771496093,0.801484764,0.90477257,-0.030103268,0.1,0.298245614
1669000,0.616313577,0.524581492,0.724279982,0.712936772,0.825777948,0.789464916,-0.074984662,0.380952381,0.464285714
1669520,0.674554884,1.064026237,1.031516474,0.700957721,0.758907616,0.823958436,-0.011001676,1,0.431818182
2011400,0.737236619,0.889156222,0.942950806,0.858004654,0.959448993,0.863922628,0.000642729,0.210526316,0.291666667
2013000,0.746529162,1.298712373,1.139610623,0.670182408,0.719493747,0.881096244,-0.060712747,0.375,0.224489796
2014000,0.75906539,0.846168935,0.919874413,0.745549728,0.84432894,0.877284871,-0.097351179,0.368421053,0.28
2015700,0.700656712,1.889401913,1.374555169,0.660121905,0.721496582,0.849647343,-0.069435634,0.333333333,0.222222222
2016000,0.783573881,1.116268992,1.056536319,0.788976382,0.858744979,0.887624175,-0.058896463,0.130434783,0.192307692
2017500,0.716815114,1.271300435,1.127519594,0.625659107,0.751540661,0.868931291,-0.156351954,0.333333333,0.276595745
2018000,0.740260184,1.225465655,1.107007523,0.635881634,0.732006073,0.882037042,-0.123369008,0.263157895,0.282608696
2027000,0.646043301,3.001595259,1.732511258,0.66843829,0.758616447,0.809176277,-0.078528278,0.227272727,0.403846154
2027500,0.550265223,6.746108055,2.597327098,0.537801595,0.6258775,0.755955139,-0.065442495,0.315789474,0.382978723
2028500,0.614535987,2.952784061,1.718366684,0.611065042,0.695679247,0.79361417,-0.075473271,0.333333333,0.301886792
2038850,0.55292809,2.287817478,1.512553298,0.507690336,0.66673851,0.760736385,-0.130215839,0.416666667,0.4375
2046000,0.439011693,1.616386056,1.271371722,0.690881146,0.987954915,0.717918773,0.058958478,0.294117647,0.32
2051500,0.793352693,0.626642227,0.791607369,0.812778474,0.847294331,0.891819739,0.002694143,0.368421053,0.351851852
2053200,0.682579547,1.565958381,1.251382588,0.65511695,0.695774496,0.838439594,-0.00693152,0.875,0.555555556
2053800,0.602983207,1.226625562,1.107531292,0.798896687,0.997479796,0.801175074,-0.019047143,0.15,0.285714286
2055100,0.605603576,1.394246221,1.180782038,0.596440454,0.671622097,0.789299899,-0.059520207,0.235294118,0.3125
2056900,0.739380866,0.826038957,0.908866853,0.857912262,0.961158872,0.865328416,-0.01513033,0.2,0.245901639
2059500,0.588584274,1.421973228,1.19246519,0.635680131,0.795961857,0.77540323,-0.110649444,0.142857143,0.389830508
2064000,0.565739065,3.448751688,1.857081497,0.508886887,0.593300343,0.776970046,-0.064875998,0.157894737,0.380952381
2065500,0.577704042,1.846540213,1.358874613,0.558649691,0.689676523,0.77330328,-0.115327902,0.625,0.409836066
2069700,0.682978779,0.701659501,0.837651181,0.716114315,0.840966582,0.846639586,-0.183814004,0.25,0.258064516
2070000,0.64666912,0.932171047,0.965490055,0.79285025,1.038233757,0.834870734,-0.094781294,0.208333333,0.328358209
2074500,0.673708946,2.146143913,1.464972325,0.667865355,0.721450031,0.82805929,-0.024652153,0.3,0.380952381
2077200,0.446326554,10.04682541,3.169672761,0.515553564,0.657311141,0.668506413,0.021188229,0.058823529,0.309090909
2081500,0.684831649,2.738046885,1.65470447,0.713088909,0.774671257,0.829505492,0.015521924,0.263157895,0.370967742
2082950,0.530757636,3.535914898,1.880402855,0.538884816,0.623493493,0.737547172,-0.014486724,0.722222222,0.272727273
2092500,0.864390165,0.814350128,0.902413502,0.818739928,0.830612004,0.935641786,-0.002031033,0.578947368,0.413043478
2096846,0.671902776,2.790058374,1.670346783,0.716948817,0.856035948,0.82195705,-0.050490256,0.210526316,0.333333333
2102908,0.421292543,0.819487691,0.905255594,0.638128779,0.889810324,0.718120547,-0.254808247,0.25,0.486486486
2108000,0.793775216,1.048655629,1.024038881,0.834585607,0.877835691,0.891137589,-0.013192334,0.611111111,0.3
2111180,0.649190575,3.937492609,1.984311621,0.611951399,0.666622102,0.822454841,-0.054383293,0.333333333,0.266666667
