basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1022500,0.799119055,0.989033639,0.994501704,0.777200182,0.808042824,0.899909772,-0.047738958,1.173913043,0.377777778
1031500,0.687176883,2.938663244,1.71425297,0.654001263,0.702172279,0.842178036,-0.049853314,0.954545455,0.16
1047000,0.589991182,4.375703335,2.091818189,0.570856498,0.642635703,0.783524289,-0.063792653,0.954545455,0.166666667
1052500,0.597963929,5.265183449,2.294598756,0.552178329,0.614891827,0.797295744,-0.066673301,0.954545455,0.254237288
1054200,0.300182402,20.62532043,4.54151081,0.284877965,0.455784291,0.564107255,-0.079377383,1,0.175438596
1055000,0.394375026,10.71966743,3.274090322,0.399184271,0.532669902,0.639816754,-0.059244968,0.954545455,0.228070175
1057000,0.607237667,2.885572195,1.698697205,0.597902027,0.664237857,0.790714382,-0.044668503,1,0.239130435
1073000,0.589352041,2.703555346,1.644249174,0.586692311,0.653852761,0.778112579,-0.025820496,1,0.1875
1078000,0.73682332,1.580061316,1.257004899,0.669785072,0.703034818,0.877508583,-0.052505795,0.952380952,0.392156863
1123000,0.516288668,2.381280899,1.543139948,0.603976619,0.724061728,0.719453878,-0.036110464,1,0.206896552
1134500,0.604216278,3.253208399,1.803665268,0.577930346,0.639321446,0.79436367,-0.052528929,1.043478261,0.1875
1137500,0.457797408,5.513584137,2.348102242,0.499570976,0.623185337,0.681874918,-0.060921766,1,0.26984127
1139000,0.636400819,1.295034409,1.137995786,0.669847503,0.740092695,0.800881859,-0.036271479,1.192307692,0.209677419
1139800,0.648897648,1.280370831,1.131534724,0.688503606,0.759286106,0.80821076,-0.043742128,0.96,0.285714286
1142500,0.633100688,1.811520219,1.345927271,0.631705351,0.69285363,0.804619938,-0.042671751,1.1,0.25
1144000,0.662014514,1.661462784,1.288977418,0.709197089,0.778408945,0.814900492,-0.026770413,1.304347826,0.321428571
1162500,0.782050699,1.108294725,1.052755777,0.752911998,0.78382659,0.891753456,-0.039054886,1.05,0.260869565
1169000,0.50499171,4.453832626,2.110410535,0.566013121,0.681783438,0.712820798,-0.046459395,1,0.298245614
