basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1022500,0.817105159,0.900479376,0.948935918,0.822771397,0.871536136,0.90753743,-0.072269924,1,0.066666667
1031500,0.707599133,2.746816635,1.657352297,0.709215475,0.782412887,0.846985891,-0.074942164,1,0.04
1047000,0.634094834,3.905019522,1.976112224,0.651574453,0.741965592,0.80284999,-0.082257666,1,0.074074074
1052500,0.650916785,4.571697235,2.138152762,0.637026936,0.710323334,0.817415396,-0.07604216,1,0.101694915
1054200,0.313304901,20.23856735,4.498729526,0.338520093,0.541315377,0.569751049,-0.102483191,1,0.035087719
1055000,0.38521868,10.88173676,3.298747756,0.433425985,0.607130468,0.627004393,-0.086722456,1,0.052631579
1057000,0.634309173,2.686681509,1.639109975,0.654206685,0.743415713,0.802129202,-0.075198762,1,0.086956522
1073000,0.589242607,2.704275608,1.644468184,0.607371444,0.698226392,0.774350683,-0.06768667,1,0.083333333
1078000,0.757676229,1.454864502,1.206177641,0.742183257,0.798615634,0.876847598,-0.071170479,1,0.156862745
1123000,0.523549408,2.34553647,1.531514437,0.628544131,0.766366959,0.729033003,-0.080906436,1,0.068965517
1134500,0.638005912,2.975469112,1.724954815,0.655527941,0.735284328,0.804917509,-0.07097546,1.043478261,0.09375
1137500,0.45171535,5.575432301,2.361235334,0.518692446,0.667238295,0.678986145,-0.095753953,1.043478261,0.111111111
1139000,0.64897272,1.250257015,1.118148924,0.722968928,0.817923903,0.808829161,-0.071757749,1.038461538,0.080645161
1139800,0.668639094,1.208379269,1.099263057,0.753830149,0.850662053,0.821480345,-0.073070303,1,0.107142857
1142500,0.659560829,1.680876493,1.29648621,0.693255577,0.775233686,0.816764154,-0.0762766,1,0.071428571
1144000,0.675660938,1.594379902,1.262687571,0.703842828,0.782508671,0.826969727,-0.079001047,1.130434783,0.089285714
1162500,0.809624717,0.968077958,0.983909527,0.793280423,0.839651644,0.904715276,-0.068203524,1.05,0.086956522
1169000,0.522021234,4.300609589,2.073791115,0.600977955,0.736243844,0.727539561,-0.084951915,1,0.140350877
1170100,0.538261682,3.732270956,1.93190863,0.619473981,0.75050509,0.738569284,-0.084145688,1.055555556,0.137931034
1181000,0.498017371,4.60307169,2.145477031,0.591463697,0.73599577,0.710478043,-0.078169912,1,0.101694915
1187300,0.369158149,8.458838463,2.908408235,0.462115812,0.652560711,0.614089527,-0.080423176,1,0.129032258
1195100,0.422491014,3.439187765,1.854504722,0.542880201,0.716134369,0.656254617,-0.067775875,1.083333333,0.137931034
1333000,0.702855587,1.399685979,1.183083251,0.764998287,0.84943217,0.841443573,-0.07146953,1,0.188679245
1350000,0.384132683,8.780243874,2.963147629,0.443934208,0.620555282,0.62493286,-0.079932727,1.090909091,0.222222222
1350080,0.523918897,3.356188059,1.831990191,0.573024844,0.696890235,0.727910134,-0.070512377,1.052631579,0.020833333
1350140,0.585469276,2.979854345,1.726225462,0.619288699,0.716865957,0.768983244,-0.056122459,1,0.019607843
1365000,0.53875199,5.29789114,2.301714826,0.581837438,0.699505687,0.741876093,-0.099161223,1.086956522,0.098039216
1411300,0.696821779,0.516360283,0.718582134,0.736906091,0.808991611,0.839528751,-0.083989583,1,0.075471698
1413500,0.565471947,3.687128305,1.920189654,0.606607421,0.712354898,0.756803649,-0.072829701,1.095238095,0.083333333
1414500,0.500983268,4.935978413,2.221706194,0.565131677,0.695558965,0.712157742,-0.076875389,1.130434783,0.130434783
1415000,0.581565648,2.500265837,1.581222893,0.639203926,0.74280411,0.765687854,-0.06471923,1.05,0.14
1423000,0.632420808,2.293915272,1.514567685,0.657836535,0.7410267,0.800275288,-0.067151368,1,0.125
1434025,0.429257274,10.50036049,3.240425973,0.489950312,0.650817037,0.662806515,-0.099556312,1.125,0.180327869
1435000,0.371259868,11.88775349,3.447862162,0.430187293,0.610839188,0.618709751,-0.107144564,1.08,0.113207547
1439500,0.80035004,0.977688193,0.988781166,0.786570983,0.836260855,0.900506468,-0.080214404,1,0.06
1440000,0.604134738,1.886012316,1.373321636,0.663189061,0.765623689,0.782149852,-0.085735254,1.041666667,0.092592593
1440400,0.609704494,2.702680111,1.643983002,0.636793126,0.729027212,0.787828112,-0.086666554,1,0.0625
1451800,0.546145886,3.326546192,1.823882176,0.5970975,0.712901533,0.743201165,-0.072691225,1,0.105263158
1466500,0.786585182,0.047943003,0.218958908,0.815104993,0.867732942,0.896679757,-0.128885627,1,0.170212766
1484100,0.495646894,1.036758184,1.018213231,0.582313395,0.719128728,0.70921553,-0.085097253,1,0.017857143
1487000,0.7081438,0.400688261,0.632999416,0.7367876,0.813518226,0.849619777,-0.111385129,1,0.023809524
1491000,0.54508543,2.000332117,1.414330979,0.570687518,0.677092195,0.744613608,-0.069317244,1,0.019607843
1510000,0.65778175,2.280273199,1.51005735,0.705018764,0.792314231,0.814022402,-0.066177242,1,0.037037037
1516500,0.263103187,5.580375671,2.362281878,0.362370565,0.597493947,0.520765349,-0.046968769,1,0.094339623
1518862,0.445075035,3.351979733,1.830841264,0.521517668,0.672331214,0.669368435,-0.054500226,1,0.081632653
1532000,0.262678504,8.274760246,2.8765883,0.314003045,0.533837557,0.515796139,-0.05515106,1,0.173076923
1539000,0.609066367,2.499139547,1.580866708,0.663019864,0.762201369,0.783632332,-0.067482941,1,0.142857143
1542810,0.50437063,4.417144299,2.101700335,0.570093635,0.700210154,0.712906973,-0.06086522,1.105263158,0.113207547
1543000,0.62503615,2.398981571,1.548864607,0.667860159,0.75714761,0.793781689,-0.060919054,1,0.192307692
1543500,0.675754905,1.727166533,1.31421708,0.715623648,0.793203592,0.82493246,-0.061252903,1.05,0.102040816
1544500,0.655019045,2.580015659,1.606242715,0.658326033,0.734296739,0.816395801,-0.068867929,1,0.163265306
1545600,0.695339441,1.774526119,1.332113403,0.703193572,0.770047367,0.839173627,-0.063988268,1,0.024390244
1547700,0.576814026,2.589053392,1.60905357,0.620253944,0.724192739,0.762864436,-0.060437318,1,0.142857143
1548500,0.697789937,1.497289896,1.223637976,0.710706452,0.778115273,0.839857211,-0.061303638,1,0.130434783
1549500,0.505567074,4.363921642,2.089000154,0.554995751,0.681619346,0.714907176,-0.066461414,1,0.0625
1550000,0.441115797,5.399851322,2.323758017,0.508631645,0.659530282,0.667830238,-0.069372445,1,0.196078431
1552000,0.524604976,3.747026443,1.935723752,0.578954905,0.699755788,0.728361528,-0.071324833,1,0.107142857
1552500,0.370247126,7.205944538,2.684389044,0.445984443,0.625046611,0.612824757,-0.071817383,0.956521739,0.053571429
1557500,0.635970443,1.999904037,1.414179634,0.687247769,0.780862272,0.800847342,-0.070615754,1,0.08
1567500,0.46408385,3.719720364,1.928657658,0.541496572,0.69036901,0.684208395,-0.06339819,1,0.018518519
1568000,0.517666191,3.274886847,1.809664844,0.58499625,0.714425743,0.72266066,-0.067114703,1,0.156862745
1580000,0.235396326,1.888363242,1.374177296,0.40055635,0.663118362,0.515247508,-0.090652235,1,0.048387097
1583500,0.180340588,1.470703959,1.212725839,0.380166597,0.67995286,0.478023869,-0.08597067,1,0.064516129
1586610,0.240886927,2.446201086,1.564033595,0.390155936,0.647034168,0.514017445,-0.07505703,1,0.049180328
1591400,0.091642499,3.555787086,1.885679476,0.225006708,0.568501413,0.369570044,-0.073251799,1,0.080645161
1594950,0.513542414,4.041809082,2.0104251,0.601601619,0.737871289,0.720120153,-0.068670012,1,0.040816327
1596500,0.622914523,2.617748737,1.617945839,0.657862426,0.751488209,0.793045861,-0.065423176,1,0.044444444
1605500,0.421059847,2.249996424,1.499998808,0.500064656,0.658814967,0.651513858,-0.057940923,1,0.086956522
1606500,0.54904744,2.271891832,1.507279613,0.609083904,0.724384904,0.743667708,-0.060185954,1,0.058823529
1632000,0.281104982,6.850378036,2.617322685,0.317751887,0.52553165,0.532592142,-0.049994648,1,0.051724138
1632900,0.335325599,2.364823103,1.537798135,0.419204771,0.615693152,0.583323666,-0.062394913,1,0.150943396
1634500,0.322223961,4.387845039,2.094718368,0.401553897,0.603695035,0.571422733,-0.057082646,1,0.056603774
1638480,0.263249755,3.955046654,1.98872991,0.384569188,0.628356993,0.526225029,-0.056851484,1,0.078431373
1639500,0.271338522,2.922200203,1.709444414,0.436464854,0.686110318,0.54384305,-0.064705499,1,0.060606061
1644000,0.444642365,2.133029222,1.460489378,0.552774572,0.714979947,0.67053745,-0.05479962,1,0.075471698
1664000,0.428251088,2.581238747,1.606623399,0.504745821,0.660955489,0.657989672,-0.068486646,1,0.06779661
1666500,0.289144039,6.072248459,2.464193267,0.314063993,0.510792017,0.543825366,-0.074234389,1,0.050847458
1667500,0.352194548,4.832947731,2.198396627,0.389017884,0.558237195,0.598197671,-0.063632384,1,0.122807018
1669000,0.597652406,0.55009532,0.74168411,0.679588315,0.785401046,0.77619867,-0.068900429,1,0.125
1669520,0.640120327,1.176608324,1.08471578,0.611478947,0.675389111,0.814848236,-0.066396534,1,0.136363636
2011400,0.459756017,1.828113556,1.352077496,0.548666304,0.698937714,0.681062195,-0.061402123,1,0.083333333
2013000,0.412686229,3.009228468,1.734712791,0.501024268,0.669998825,0.645452179,-0.057616919,1,0.06122449
2014000,0.530826241,1.647751093,1.283647573,0.59940277,0.721506715,0.731391759,-0.063324086,1,0.06
2015700,0.342331648,4.15108633,2.037421491,0.424238728,0.616366088,0.590024877,-0.07144133,1.047619048,0.037037037
2016000,0.453396618,2.819236517,1.679058223,0.516917847,0.662479877,0.676707598,-0.065833867,1.043478261,0.076923077
2017500,0.579797,1.886415124,1.373468283,0.654032071,0.767879367,0.764115952,-0.063734002,1,0.085106383
2018000,0.503982008,2.340237856,1.529783598,0.570803899,0.70214051,0.712994679,-0.065280817,1,0.108695652
2027000,0.46235007,4.559336185,2.135260215,0.508086822,0.645172656,0.686470565,-0.084771894,0.954545455,0.096153846
2027500,0.396879971,9.046916962,3.007809329,0.409161235,0.557690442,0.641447801,-0.086948261,1,0.127659574
2028500,0.487954557,3.922440529,1.980515218,0.520730794,0.648154259,0.705786422,-0.082815908,1,0.150943396
2038850,0.109260499,4.558214188,2.134997468,0.184228796,0.50341785,0.363297237,-0.055592693,1,0.046875
2046000,0.518472284,1.38743484,1.17789424,0.587396592,0.713742495,0.721749978,-0.048853099,1,0.04
2051500,0.589597374,1.244514585,1.115578139,0.628850321,0.727054417,0.770785051,-0.050988715,1,0.074074074
2053200,0.772471249,1.122487783,1.05947524,0.68932183,0.728548169,0.895782582,-0.04458553,1.1875,0.244444444
2053800,0.371267557,1.942535758,1.393748815,0.47084568,0.653984964,0.614394348,-0.068157516,1.05,0.053571429
2055100,0.294505835,2.494019985,1.579246651,0.415041794,0.641799271,0.554283847,-0.071174011,1,0.020833333
2056900,0.304611087,2.204052925,1.48460531,0.402532869,0.614163935,0.560055091,-0.078248814,1,0.081967213
2059500,0.28402245,2.47462821,1.573095105,0.370997993,0.58796376,0.538909844,-0.063206464,1,0.13559322
2064000,0.241581321,6.023101807,2.454200849,0.255230318,0.469770223,0.495237683,-0.05505025,1,0.063492063
