basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1022500,0.830807313,0.833017111,0.912697711,0.870864168,0.911153972,0.9119506,-0.029085314,0.956521739,0.066666667
1031500,0.71526742,2.674780607,1.635475652,0.761770727,0.822811782,0.846498017,-0.027027566,1.045454545,0.14
1047000,0.644364446,3.795419693,1.948183691,0.699823669,0.779114485,0.803854675,-0.034724377,0.954545455,0.055555556
1052500,0.66554901,4.380068779,2.092861386,0.674141537,0.733438969,0.821306917,-0.035710473,1,0.152542373
1054200,0.308673739,20.37505913,4.513874071,0.345374991,0.535880864,0.560625212,-0.070814282,1,0.087719298
1055000,0.38789618,10.83434486,3.291556602,0.440648296,0.596869409,0.625729582,-0.052994408,1,0.122807018
1057000,0.635242134,2.679826975,1.637017708,0.69268947,0.776792705,0.798262521,-0.038986985,1,0.130434783
1073000,0.625240475,2.467278957,1.570757447,0.664275077,0.739244044,0.792988243,-0.026485244,0.95,0.166666667
1078000,0.778711125,1.328575015,1.152638285,0.798413199,0.844013453,0.884124784,-0.036831863,0.761904762,0.215686275
1123000,0.523279399,2.346865892,1.531948397,0.656649024,0.794566453,0.727061561,-0.027967287,0.954545455,0.086206897
1134500,0.641494781,2.946791887,1.716622232,0.680805876,0.750861585,0.80291275,-0.021559536,1.043478261,0.21875
1137500,0.455502629,5.536919594,2.353065999,0.528714118,0.664608061,0.677042356,-0.052240692,1.043478261,0.19047619
1139000,0.647030562,1.257174492,1.121237928,0.739379672,0.827718794,0.804766705,-0.009598209,0.961538462,0.032258065
1139800,0.648439318,1.282042146,1.132273,0.746764053,0.837792873,0.80597389,-0.011923065,0.92,0.303571429
1142500,0.656711191,1.694946289,1.301901029,0.721563086,0.797234476,0.810696258,-0.018330697,1,0.160714286
1144000,0.669983536,1.622288823,1.273691023,0.732591546,0.805568635,0.818974977,-0.023594733,0.956521739,0.053571429
1162500,0.824401543,0.892936289,0.944953062,0.850551706,0.888301075,0.908684221,-0.029832967,0.95,0.108695652
1169000,0.529630572,4.232144356,2.057217625,0.63003116,0.754398763,0.729233677,-0.038960446,1,0.192982456
1170100,0.546352237,3.66687417,1.914908397,0.650932519,0.771437585,0.740577124,-0.033909701,1.111111111,0.137931034
1181000,0.505769491,4.531986237,2.128846222,0.621970995,0.758813977,0.713461916,-0.034663569,0.952380952,0.220338983
1187300,0.383133829,8.27144146,2.87601138,0.466956029,0.634801269,0.621024531,-0.048454817,1.047619048,0.112903226
1195100,0.426824987,3.413378,1.84753295,0.578308195,0.752744138,0.660263144,-0.023869751,1.041666667,0.137931034
1333000,0.713815838,1.348058343,1.161059147,0.797276605,0.869859815,0.845328912,-0.012781681,1,0.075471698
1350000,0.389023304,8.710520744,2.951359135,0.443406456,0.600427151,0.626468317,-0.05254706,1.045454545,0.166666667
1350080,0.525042415,3.348267794,1.829827258,0.595476813,0.706937075,0.725311804,-0.02640409,0.947368421,0.125
1350140,0.595546395,2.907414913,1.70511434,0.640569072,0.72174722,0.773538376,-0.01152567,1,0.176470588
1365000,0.548055977,5.191025257,2.278382158,0.626826635,0.736836016,0.741499476,-0.04175812,1,0.137254902
1411300,0.696298331,0.517251849,0.719202231,0.741446163,0.803780019,0.835927159,-0.037979513,0.9,0.20754717
1413500,0.57342419,3.619650841,1.902538,0.624478875,0.715501189,0.759046713,-0.028835371,1.047619048,0.166666667
1414500,0.508229762,4.864300728,2.205515978,0.585245969,0.703838706,0.713681858,-0.031860366,1,0.195652174
1415000,0.591567725,2.440500498,1.562210132,0.661394976,0.752848864,0.769435458,-0.013715378,0.95,0.1
1423000,0.633090496,2.289736032,1.513187375,0.689136798,0.766002953,0.796364745,-0.013582814,0.857142857,0.125
1434025,0.440907419,10.28602505,3.207183351,0.504902672,0.645699561,0.666990118,-0.059288539,1.041666667,0.147540984
1435000,0.383382678,11.65854454,3.414461091,0.467677329,0.635567725,0.621837919,-0.055778541,1.08,0.150943396
1439500,0.805599213,0.951982915,0.975696118,0.821611798,0.854500949,0.898812297,-0.017344588,0.913043478,0.14
1440000,0.61813435,1.819314241,1.348819573,0.712600582,0.808279216,0.786649251,-0.014658269,1,0.12962963
1440400,0.611679405,2.689004421,1.639818411,0.666312983,0.748910129,0.783340735,-0.027528714,1,0.125
1451800,0.546924859,3.320836782,1.822316323,0.615921683,0.721562982,0.740456546,-0.031529203,1.043478261,0.087719298
1466500,0.796741977,0.045661308,0.213685067,0.858667889,0.910438657,0.893803466,-0.043196663,1.05,0.234042553
1484100,0.501125753,1.025495768,1.012667649,0.592267087,0.716984987,0.708498767,-0.027797701,1,0.125
1487000,0.718798012,0.386061132,0.621338178,0.793900609,0.864227951,0.848663578,-0.03449104,0.944444444,0.142857143
1491000,0.535782039,2.041240454,1.428719865,0.595816046,0.70105654,0.733318725,-0.030552153,1,0.058823529
1510000,0.660056531,2.265115976,1.505030224,0.729498421,0.806837499,0.812683533,-0.019072691,1.052631579,0.037037037
1516500,0.277083576,5.474504471,2.339765901,0.379851848,0.595559478,0.530473486,-0.009078432,0.9,0.132075472
1518862,0.452410102,3.307672739,1.818700838,0.55045576,0.691916168,0.672917085,-0.006804707,1,0.020408163
1532000,0.261532664,8.287620544,2.878822771,0.330160242,0.54412818,0.512924596,-0.024193294,1,0.153846154
1539000,0.613604218,2.470129967,1.571664712,0.685140801,0.773073733,0.783636084,-0.019227516,0.952380952,0.102040816
1542810,0.512198269,4.347382545,2.08503778,0.584071214,0.699892879,0.716385683,-0.027169531,0.947368421,0.113207547
1543000,0.633902311,2.342256784,1.530443329,0.694005563,0.772410393,0.796681026,-0.014465643,1,0.211538462
1543500,0.683952957,1.683497667,1.297496693,0.747984341,0.816980958,0.827115172,-0.007986347,1,0.081632653
1544500,0.680078447,2.392603159,1.546804176,0.706571738,0.765212178,0.827261807,-0.020820659,1.055555556,0.204081633
1545600,0.704078853,1.723622561,1.312868067,0.735646339,0.790230513,0.840748452,-0.015068824,0.894736842,0.12195122
1547700,0.564736009,2.662946701,1.631853762,0.635801881,0.73559016,0.751906576,-0.019006852,0.95,0.183673469
1548500,0.710209668,1.435756803,1.198230697,0.750227614,0.805711985,0.843640494,-0.009004389,1,0.152173913
1549500,0.517358631,4.259847641,2.063939835,0.585939945,0.699032187,0.720085458,-0.026855417,0.952380952,0.145833333
1550000,0.445380747,5.358644009,2.314874513,0.525657807,0.6652565,0.66802434,-0.029463964,1,0.215686275
1552000,0.517165184,3.805666447,1.95081174,0.594024625,0.709990084,0.719789529,-0.028909273,1,0.142857143
1552500,0.375311732,7.147992611,2.673573005,0.462077507,0.629692852,0.613584757,-0.030250203,1,0.178571429
1557500,0.634953141,2.005492926,1.416154273,0.712996708,0.798824608,0.79706244,-0.018769113,1,0.04
1567500,0.460995853,3.741153717,1.934206224,0.553757587,0.692361832,0.679440054,-0.021816207,0.95,0.12962963
