basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1022500,0.767179579,1.146287084,1.070647974,0.862354372,0.955051541,0.88028452,0.046164341,0.652173913,0.355555556
1031500,0.763952777,2.217429876,1.489103716,0.793486873,1.018698573,0.890363322,0.111014061,0.090909091,0.32
1047000,0.820985049,1.91048646,1.38220348,0.802067355,0.823910415,0.910207489,-0.006740206,0.181818182,0.277777778
1052500,0.787900999,2.777711153,1.666646679,0.838747861,0.96433717,0.893454343,0.073042758,0.136363636,0.491525424
1054200,0.657831162,10.08454514,3.175617284,0.649673468,0.699903607,0.819940374,0.007892008,0.272727273,0.49122807
1055000,0.686330169,5.552011013,2.356270573,0.703354668,0.765823603,0.831884521,0.036573354,0.181818182,0.385964912
1057000,0.779740572,1.618216515,1.272091394,0.742742312,0.900485337,0.8928423,0.131789252,0.181818182,0.304347826
1073000,0.752753496,1.62778008,1.275844849,0.736482977,0.810199261,0.87370512,0.081081264,0.4,0.270833333
1078000,0.800638825,1.196925521,1.094040914,0.806271552,0.849126995,0.897176007,0.044466268,0.666666667,0.333333333
1123000,0.773575917,1.114671588,1.055780085,0.847188494,0.934301198,0.88301634,0.059260316,0.363636364,0.275862069
1134500,0.682104051,2.612997293,1.616476815,0.738047131,0.811303496,0.826929204,-0.038258344,0.304347826,0.421875
1137500,0.623002112,3.833640337,1.957968421,0.752053639,1.004953265,0.819841559,0.121949621,0.47826087,0.380952381
1139000,0.737980902,0.933235824,0.966041316,0.802552803,0.871405661,0.860384951,0.046475068,0.230769231,0.435483871
1139800,0.683022052,1.155928731,1.075141261,0.762404181,0.839411139,0.826897004,-0.024083532,0.48,0.464285714
1142500,0.755073801,1.209293008,1.099678593,0.744532372,0.794888675,0.875187744,0.066572234,0.4,0.5
1144000,0.802120954,0.9727301,0.986270805,0.731143321,0.895738184,0.913565952,0.179343194,0.304347826,0.321428571
1162500,0.715752214,1.445429325,1.20226009,0.811920951,0.907314956,0.849417715,0.049052477,0.5,0.282608696
1169000,0.589166284,3.696472406,1.922621233,0.722847751,1.077287555,0.820482171,0.134445965,0.523809524,0.438596491
1170100,0.553747624,3.607096672,1.899235813,0.664528128,1.057683825,0.807628407,0.189705953,0.5,0.379310345
1181000,0.679605961,2.937943935,1.714043154,0.769410765,0.969754159,0.841680623,0.111433834,0.523809524,0.355932203
1187300,0.720065117,3.753593922,1.937419397,0.759620473,0.876785815,0.852952536,0.083035566,0.571428571,0.274193548
1195100,0.642373323,2.129742384,1.459363691,0.705163326,0.78445828,0.802033342,-0.02398484,0.333333333,0.24137931
1333000,0.698562026,1.419910669,1.191600046,0.843963321,1.00709188,0.85109379,0.03825178,0.304347826,0.264150943
1350000,0.640840262,5.120437622,2.262838399,0.743938418,0.83927238,0.801468935,0.009118904,0.136363636,0.314814815
1350080,0.657766044,2.412617445,1.553260263,0.747970589,0.896863997,0.818505955,0.077755824,0.315789474,0.375
1350140,0.56394884,3.134553909,1.770467144,0.632000496,0.835686028,0.763968016,0.120643251,0.333333333,0.37254902
1365000,0.7059955,3.376933336,1.837643419,0.836626089,0.948526859,0.846561045,-0.016524196,0.173913043,0.31372549
1411300,0.650879025,0.594608009,0.771108299,0.596453704,0.703216672,0.852464692,-0.231391564,0.2,0.358490566
1413500,0.676772654,2.74270153,1.656110362,0.776251156,0.863549471,0.823718044,-0.012338127,0.238095238,0.229166667
1414500,0.673975259,3.224844217,1.795785126,0.746453418,0.820564508,0.82096986,0.004012784,0.304347826,0.347826087
1415000,0.708851457,1.739696383,1.318975505,0.774553507,0.878246427,0.845886593,0.075003378,0.2,0.44
1423000,0.722039759,1.734639168,1.31705701,0.820621512,0.900400877,0.851182233,0.006999178,0.142857143,0.354166667
1434025,0.619651675,6.997539043,2.645286193,0.766021641,0.89666158,0.794254686,0.02648801,0.416666667,0.426229508
1435000,0.684772104,5.960095882,2.441330761,0.708992655,0.774030149,0.83067528,-0.045173742,0.28,0.339622642
1439500,0.624312937,1.839743972,1.35637162,0.799951677,1.100357771,0.834736679,0.043793749,0.391304348,0.32
1440000,0.644671202,1.69288528,1.30110925,0.817979282,1.075822234,0.837867755,0.026996331,0.416666667,0.333333333
1440400,0.579109102,2.914544106,1.707203592,0.754107058,1.05008626,0.806199631,0.106621183,0.285714286,0.395833333
1451800,0.677231669,2.365746498,1.538098338,0.78853482,0.884052277,0.82520748,0.01652286,0.217391304,0.315789474
1466500,0.570601583,0.096463069,0.310585044,0.730548789,0.871831119,0.76368227,-0.03021333,0.75,0.404255319
1484100,0.682512015,0.652634561,0.807858008,0.670340325,0.715666831,0.83493835,0.019605208,0.157894737,0.446428571
1487000,0.699485272,0.412575543,0.642320436,0.753659984,1.151579857,0.891217654,0.164301872,0.722222222,0.30952381
1491000,0.764410973,1.035922647,1.017802852,0.758399239,0.841445148,0.87850669,0.077391699,0.166666667,0.352941176
1510000,0.706558406,1.955263972,1.398307539,0.818667507,0.962901175,0.850587718,0.065778099,0.157894737,0.351851852
1516500,0.559545398,3.335476398,1.826328667,0.582355742,0.724689841,0.75220809,0.074258558,0.45,0.339622642
1518862,0.633639663,2.212970257,1.487605545,0.662837274,0.752313316,0.799218893,0.053954508,0.470588235,0.408163265
1532000,0.556523055,4.977022648,2.230924169,0.569292226,0.651651502,0.753241022,0.022991002,0.5,0.307692308
1539000,0.705683529,1.881490469,1.371674331,0.831053171,0.93479538,0.844908017,-0.010309078,0.19047619,0.244897959
1542810,0.698255122,2.689208269,1.639880566,0.70551267,0.790736139,0.840140541,0.071695581,0.368421053,0.339622642
1543000,0.726873845,1.747434139,1.321905496,0.799023074,0.888689637,0.854952603,0.05414699,0.285714286,0.307692308
1543500,0.731061965,1.432560682,1.19689627,0.759276879,0.808636487,0.856588711,0.019566011,0.35,0.285714286
1544500,0.762992382,1.77251339,1.331357724,0.813530747,0.866973519,0.873769839,0.02086037,0.111111111,0.244897959
1545600,0.72153604,1.621941328,1.273554603,0.799651727,0.869314194,0.849785065,-0.014739167,0.315789474,0.463414634
1547700,0.628628731,2.272050858,1.507332365,0.717621035,0.85129571,0.797890083,0.071747467,0.4,0.448979592
1548500,0.766091079,1.158894062,1.07651942,0.82858467,0.892770112,0.876039465,-0.032774553,0.368421053,0.304347826
1549500,0.706573427,2.58981657,1.609290704,0.665014079,0.703238726,0.854604455,-0.029389851,0.476190476,0.395833333
1550000,0.681577027,3.076552868,1.75401051,0.705807052,0.764387488,0.828351995,-0.022328014,0.35,0.333333333
1552000,0.694700748,2.406344891,1.551239791,0.713285944,0.79137224,0.837569174,-0.068463318,0.409090909,0.375
1552500,0.586105764,4.735982418,2.176231242,0.640258013,0.726257145,0.766645037,0.002778692,0.434782609,0.428571429
1557500,0.590060383,2.252124548,1.500708016,0.795785926,1.004951954,0.796075337,-0.006787533,0.6,0.38
1567500,0.440213859,3.885398865,1.971141513,0.702620868,0.951316297,0.707065695,-0.008349328,0.3,0.37037037
1568000,0.642123103,2.429865599,1.558802617,0.8026025,0.940878451,0.811675979,0.00121085,0.19047619,0.37254902
1580000,0.651316524,0.861153364,0.927983493,0.725415326,0.891986012,0.82515322,-0.158412874,0.086956522,0.35483871
1583500,0.548816353,0.809552789,0.899751515,0.693379383,0.937806249,0.779005159,-0.181148782,0,0.516129032
1586610,0.615973771,1.237503886,1.11243152,0.716605379,0.903993785,0.801559369,-0.126612976,0.08,0.459016393
1591400,0.611865789,1.519360662,1.232623487,0.64442105,0.739381313,0.786194804,-0.063600592,0.05,0.451612903
1594950,0.604548335,3.285672188,1.812642322,0.764018185,0.981696963,0.802086807,0.080840014,0.421052632,0.489795918
1596500,0.644502014,2.467887163,1.570951038,0.791877743,0.916937232,0.809968214,-0.01020436,0.315789474,0.355555556
1605500,0.62664178,1.451021552,1.20458356,0.740525311,0.905462027,0.801689331,0.072768457,0.285714286,0.282608696
1606500,0.6787723,1.618340135,1.272139982,0.784675441,0.875553429,0.825479457,0.011687585,0.333333333,0.333333333
1632000,0.479955792,4.955521107,2.226099977,0.594842796,0.79990077,0.702503567,0.063790292,0.565217391,0.362068966
1632900,0.298112988,2.497220516,1.580259636,0.599405737,1.212198615,0.73351941,0.103941627,0.444444444,0.433962264
1634500,0.536832452,2.99849391,1.731615982,0.622826319,0.734544516,0.732737232,-0.008255639,0.388888889,0.301886792
1638480,0.568288237,2.317529202,1.522343326,0.545480457,0.621199131,0.769624311,-0.044758603,0.368421053,0.37254902
1639500,0.672314316,1.314139962,1.146359438,0.754747815,0.912380159,0.829528162,-0.094542131,0,0.378787879
1644000,0.719276786,1.078207612,1.038367763,0.808924403,0.902893782,0.850535097,0.037306316,0.227272727,0.20754717
1664000,0.668708056,1.495662689,1.22297289,0.835400077,1.035724998,0.840761722,-0.012711178,0.19047619,0.203389831
1666500,0.547485888,3.865449905,1.966074746,0.75553159,0.971918821,0.768258874,-0.03547379,0.238095238,0.423728814
1667500,0.664717376,2.501373768,1.581573194,0.792500959,0.932858586,0.823678415,-0.042525798,0.15,0.280701754
1669000,0.736001521,0.360942453,0.600784864,0.760582198,0.839832902,0.863779974,-0.097677439,0.333333333,0.5
1669520,0.709585428,0.949495673,0.974420686,0.702402136,0.75460732,0.848898608,-0.046396215,1.058823529,0.477272727
2011400,0.72923559,0.916230679,0.957199393,0.788055351,1.028663278,0.873321799,0.096563257,0.263157895,0.291666667
2013000,0.716895252,1.450548053,1.204387003,0.837470784,0.989366531,0.857689697,0.037384182,0.3125,0.265306122
2014000,0.623361945,1.322763085,1.150114379,0.768147881,1.167740703,0.851340744,0.036197495,0.368421053,0.3
2015700,0.683428019,1.998146296,1.413558027,0.723915308,0.788422942,0.827999344,-0.02426151,0.333333333,0.240740741
2016000,0.76024662,1.236584783,1.112018337,0.877797338,1.039574385,0.885475117,0.008542825,0.130434783,0.230769231
2017500,0.74100399,1.162709475,1.07829007,0.83177796,0.978438318,0.87012349,-0.066172488,0.277777778,0.382978723
2018000,0.773747966,1.067468524,1.033183684,0.820719352,0.921720922,0.882752469,-0.063130215,0.210526316,0.260869565
2027000,0.429130912,4.841038704,2.200236056,0.712283411,1.005794168,0.716730008,-0.031825718,0.318181818,0.269230769
2027500,0.446258247,8.306233406,2.882053679,0.614459983,0.794071317,0.678589705,-0.029829714,0.421052632,0.212765957
2028500,0.556163818,3.39993453,1.843891138,0.751354809,0.924607277,0.763060415,2.14E-05,0.238095238,0.358490566
2038850,0.557487696,2.264484406,1.50482039,0.743905299,1.0637604,0.796061102,-0.067547381,0.375,0.40625
2046000,0.334291399,1.918118715,1.38496163,0.585580479,1.17504108,0.736458051,0.125395611,0.294117647,0.3
2051500,0.784040749,0.654879928,0.809246518,0.857879748,0.915218711,0.88594476,-0.000642568,0.473684211,0.240740741
2053200,0.75470455,1.210137725,1.1000626,0.702592376,0.743651867,0.880193094,0.037306815,1,0.511111111
2053800,0.494192064,1.562747359,1.25009894,0.660122885,1.281136632,0.834882812,0.060784183,0.1,0.321428571
2055100,0.490144789,1.802409053,1.342538287,0.705735062,1.205867529,0.807135929,0.048339322,0.294117647,0.25
2056900,0.468978822,1.683085203,1.297337737,0.665584185,1.28122139,0.823917335,-0.027089452,0.1,0.278688525
2059500,0.594509631,1.401493549,1.183846928,0.737033078,0.949639618,0.791508637,-0.083491929,0.095238095,0.355932203
2064000,0.657929242,2.716609001,1.648213882,0.761629285,0.866171896,0.813253868,-0.025540218,0.052631579,0.333333333
2065500,0.359841228,2.799171686,1.673072529,0.613633331,0.945499957,0.668477704,-0.101390027,0.708333333,0.426229508
2069700,-0.097060323,2.428111315,1.558239813,0.285535317,1.685506463,0.816077873,-0.084483147,0.125,0.370967742
2070000,0.070291102,2.45279336,1.566139636,0.422165572,1.534778357,0.791175408,-0.052172918,0.166666667,0.328358209
