basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1022500,0.826858014,0.852461398,0.923288361,0.905239814,0.989268303,0.913092601,0.032823104,0.391304348,0.377777778
1031500,0.802660316,1.853810787,1.361547203,0.880931649,0.977930844,0.900125674,0.038887918,0.181818182,0.38
1047000,0.818461046,1.93742311,1.391913471,0.880322116,0.953081131,0.906676301,-0.038045254,0.318181818,0.333333333
1052500,0.784216627,2.825962782,1.681060017,0.872332241,0.94033432,0.887156522,-0.001469231,0.227272727,0.457627119
1054200,0.654120654,10.19390297,3.192789215,0.687819139,0.751583874,0.81095474,-0.001431824,0.181818182,0.421052632
1055000,0.664071411,5.945994854,2.43844107,0.728485806,0.805333614,0.815249629,-0.021499597,0.181818182,0.385964912
1057000,0.791953385,1.528490543,1.236321375,0.845036547,0.943515122,0.893382849,0.060549997,0.227272727,0.456521739
1073000,0.811607048,1.240309954,1.113692037,0.787867763,0.856967866,0.905444108,0.076629303,0.2,0.291666667
1078000,0.848266035,0.910980999,0.954453246,0.902517821,0.942878604,0.9212778,0.00448801,0.333333333,0.37254902
1123000,0.679970205,1.575486779,1.255183962,0.823789631,0.994146585,0.840948087,0.061267044,0.272727273,0.344827586
1134500,0.733100265,2.193825483,1.481156806,0.773528517,0.832242429,0.85736317,-0.036609869,0.391304348,0.40625
1137500,0.631732553,3.744861603,1.93516449,0.774552085,0.991299033,0.818936258,0.095995374,0.260869565,0.412698413
1139000,0.709891558,1.033281922,1.016504758,0.821490732,0.929679632,0.848151085,-0.053120725,0.269230769,0.467741935
1139800,0.608398825,1.428058505,1.195014019,0.807000194,1.02238059,0.808809473,-0.012700757,0.36,0.571428571
1142500,0.771500945,1.128185987,1.062160999,0.858356278,0.935142696,0.880571547,0.03045168,0.4,0.517857143
1144000,0.811044931,0.928861797,0.963774765,0.890384022,0.9798522,0.904547146,0.038597323,0.217391304,0.321428571
1162500,0.738786072,1.328299761,1.152518877,0.819932294,0.887378275,0.86001122,0.009179468,0.4,0.369565217
1169000,0.63734284,3.263004541,1.806378848,0.716733282,1.086673379,0.847228727,0.152052224,0.380952381,0.421052632
1170100,0.643347591,2.882852316,1.697896439,0.739794098,1.087591052,0.848026689,0.135685593,0.555555556,0.431034483
1181000,0.690325052,2.839652061,1.68512672,0.747192222,0.982005715,0.852195874,0.138065889,0.142857143,0.288135593
1187300,0.710618615,3.880260229,1.969837615,0.793261357,0.9135409,0.847888534,0.063135922,0.428571429,0.306451613
1195100,0.603466213,2.361442327,1.536698515,0.725402031,0.845627487,0.78053537,0.039144598,0.458333333,0.327586207
1333000,0.638107002,1.704681516,1.305634526,0.722644427,1.144232273,0.862124133,0.159893587,0.391304348,0.377358491
1350000,0.690888673,4.40691185,2.099264597,0.752759782,0.823699594,0.831491984,0.020726021,0.272727273,0.351851852
1350080,0.661406815,2.386951447,1.544976196,0.771984126,0.872104704,0.815533014,0.022065816,0.421052632,0.375
1350140,0.58233577,3.002379417,1.73273755,0.661147645,0.842904627,0.773227427,0.103392318,0.428571429,0.450980392
1365000,0.716029108,3.261687517,1.806014263,0.82479103,1.011345625,0.86285908,0.080302082,0.217391304,0.196078431
1411300,0.708924294,0.495747805,0.704093605,0.63488888,0.690045893,0.874411561,-0.147243217,0.25,0.41509434
1413500,0.701333463,2.534294128,1.591946647,0.821925644,0.959582031,0.846635478,0.051973835,0.19047619,0.291666667
1414500,0.611856192,3.839289188,1.959410419,0.748383659,0.942217946,0.800454973,0.093676068,0.304347826,0.347826087
1415000,0.638434798,2.160456181,1.469849033,0.739128154,1.017558336,0.83135669,0.134343311,0.4,0.48
1423000,0.735583037,1.650120974,1.284570346,0.839528562,0.970040381,0.865739218,0.055160049,0.333333333,0.395833333
1434025,0.654790342,6.35106802,2.52013254,0.752753817,0.934087098,0.823052706,0.101472996,0.5,0.360655738
1435000,0.727286339,5.15626812,2.270741755,0.780569121,0.842764556,0.853339541,0.028111061,0.4,0.339622642
1439500,0.7088072,1.425974607,1.194141787,0.848144271,1.0428406,0.862028348,0.039907534,0.391304348,0.32
1440000,0.687596351,1.488377929,1.219990954,0.840232518,0.986389101,0.84184735,-0.014773671,0.333333333,0.407407407
1440400,0.64150098,2.482498884,1.575594772,0.769850611,1.034292221,0.833772089,0.116045371,0.523809524,0.25
1451800,0.740757555,1.900130272,1.378452129,0.78202087,0.843584836,0.861727521,0.038569398,0.391304348,0.280701754
1466500,0.626165062,0.083980896,0.289794575,0.667243207,0.739468813,0.793551334,0.025174024,0.55,0.446808511
1484100,0.608731896,0.804298401,0.896826851,0.684827556,0.83156985,0.792892106,0.135830969,0.263157895,0.428571429
1487000,0.641467601,0.492227793,0.701589476,0.701698115,1.144493818,0.876589017,0.234878018,0.555555556,0.404761905
1491000,0.743149161,1.129414201,1.062739009,0.733501253,0.930242419,0.873291833,0.127460048,0.277777778,0.411764706
1510000,0.687629491,2.081391335,1.442702788,0.782073536,1.113276124,0.869183651,0.09093719,0.368421053,0.314814815
1516500,0.470072031,4.013040543,2.003257483,0.525152747,0.729536355,0.692824961,0.092664033,0.55,0.433962264
1518862,0.532490343,2.823954582,1.68046261,0.683941286,0.869452596,0.743310746,0.064099915,0.411764706,0.428571429
1532000,0.488363862,5.741954803,2.396237635,0.539515939,0.661911607,0.700867984,0.036530476,0.277777778,0.346153846
1539000,0.742824823,1.644055486,1.282207271,0.85431504,1.003907323,0.873053953,0.047705065,0.19047619,0.326530612
1542810,0.657965243,3.048279524,1.745932279,0.681716584,0.833531976,0.818675729,0.109745339,0.368421053,0.452830189
1543000,0.725547314,1.755921125,1.325111741,0.801092798,0.929873049,0.858371835,0.07837373,0.238095238,0.307692308
1543500,0.740794629,1.380717397,1.175039317,0.832468058,0.90550375,0.861814733,0.004610327,0.15,0.448979592
